-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  51.2202   Longitude 4.4131 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.98 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
51.22021,4.41311,1983,01,01,    1.93,   -3.26,   -0.49,    5.19
51.22021,4.41311,1983,01,02,    4.09,    1.73,    2.53,    2.36
51.22021,4.41311,1983,01,03,    9.85,    2.06,    7.36,    7.79
51.22021,4.41311,1983,01,04,   10.85,    4.98,    8.36,    5.87
51.22021,4.41311,1983,01,05,   12.06,    5.37,    9.91,    6.69
51.22021,4.41311,1983,01,06,   11.24,    6.22,    9.11,    5.02
51.22021,4.41311,1983,01,07,    7.66,    2.69,    5.49,    4.97
51.22021,4.41311,1983,01,08,    6.38,    1.90,    4.23,    4.49
51.22021,4.41311,1983,01,09,    8.77,    1.71,    5.30,    7.06
51.22021,4.41311,1983,01,10,    9.23,    3.11,    6.41,    6.12
51.22021,4.41311,1983,01,11,    8.29,    5.01,    6.56,    3.28
51.22021,4.41311,1983,01,12,    6.81,    1.89,    4.36,    4.91
51.22021,4.41311,1983,01,13,    5.43,    1.19,    3.17,    4.24
51.22021,4.41311,1983,01,14,    6.45,    0.66,    3.16,    5.79
51.22021,4.41311,1983,01,15,    8.23,    4.79,    6.84,    3.44
51.22021,4.41311,1983,01,16,    9.23,    6.85,    7.88,    2.38
51.22021,4.41311,1983,01,17,    8.15,    5.62,    7.10,    2.54
51.22021,4.41311,1983,01,18,    7.62,    2.09,    5.01,    5.54
51.22021,4.41311,1983,01,19,    5.29,    1.31,    2.92,    3.98
51.22021,4.41311,1983,01,20,    4.65,    0.00,    1.97,    4.64
51.22021,4.41311,1983,01,21,    6.67,    1.67,    3.79,    5.00
51.22021,4.41311,1983,01,22,    6.24,    0.11,    3.40,    6.13
51.22021,4.41311,1983,01,23,    5.05,   -2.18,    0.16,    7.22
51.22021,4.41311,1983,01,24,    4.59,   -2.31,    0.91,    6.90
51.22021,4.41311,1983,01,25,    7.63,    1.37,    4.92,    6.26
51.22021,4.41311,1983,01,26,    8.93,    5.37,    7.41,    3.56
51.22021,4.41311,1983,01,27,   10.78,    8.20,    9.13,    2.57
51.22021,4.41311,1983,01,28,   10.38,    8.13,    8.74,    2.25
