-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.854   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.85401,4.34841,1983,01,01,    1.10,   -3.82,   -1.24,    4.92
50.85401,4.34841,1983,01,02,    2.54,    1.05,    1.60,    1.49
50.85401,4.34841,1983,01,03,    9.17,    1.93,    6.59,    7.24
50.85401,4.34841,1983,01,04,   10.74,    5.46,    8.33,    5.28
50.85401,4.34841,1983,01,05,   12.36,    5.84,   10.12,    6.52
50.85401,4.34841,1983,01,06,   10.83,    6.33,    8.56,    4.50
50.85401,4.34841,1983,01,07,    6.91,    1.31,    4.67,    5.60
50.85401,4.34841,1983,01,08,    5.94,    0.86,    3.50,    5.08
50.85401,4.34841,1983,01,09,    7.88,    0.89,    4.31,    7.00
50.85401,4.34841,1983,01,10,    8.81,    2.86,    6.05,    5.94
50.85401,4.34841,1983,01,11,    8.07,    4.24,    5.83,    3.83
50.85401,4.34841,1983,01,12,    5.91,    0.61,    3.30,    5.30
50.85401,4.34841,1983,01,13,    4.75,    0.39,    2.40,    4.35
50.85401,4.34841,1983,01,14,    5.87,   -1.03,    1.97,    6.90
50.85401,4.34841,1983,01,15,    7.85,    3.80,    6.15,    4.04
50.85401,4.34841,1983,01,16,    9.21,    6.26,    7.56,    2.94
50.85401,4.34841,1983,01,17,    8.37,    5.14,    6.80,    3.22
50.85401,4.34841,1983,01,18,    7.55,    1.04,    4.70,    6.51
50.85401,4.34841,1983,01,19,    4.75,    0.59,    2.00,    4.15
50.85401,4.34841,1983,01,20,    4.22,   -0.94,    0.93,    5.16
50.85401,4.34841,1983,01,21,    6.07,    0.60,    2.83,    5.47
50.85401,4.34841,1983,01,22,    5.88,   -1.79,    2.20,    7.67
50.85401,4.34841,1983,01,23,    5.08,   -2.94,   -0.42,    8.01
50.85401,4.34841,1983,01,24,    4.49,   -2.84,    0.31,    7.33
50.85401,4.34841,1983,01,25,    7.41,    0.20,    4.32,    7.21
50.85401,4.34841,1983,01,26,    9.19,    5.82,    7.52,    3.38
50.85401,4.34841,1983,01,27,   11.01,    7.32,    8.81,    3.69
50.85401,4.34841,1983,01,28,   10.27,    7.95,    8.73,    2.32
50.85401,4.34841,1983,01,29,    8.92,    5.21,    6.81,    3.71
50.85401,4.34841,1983,01,30,    7.18,    1.92,    4.52,    5.26
50.85401,4.34841,1983,01,31,    8.35,    1.15,    3.24,    7.20
50.85401,4.34841,1983,02,01,    8.36,    2.66,    6.11,    5.71
50.85401,4.34841,1983,02,02,    5.30,   -0.36,    2.25,    5.65
50.85401,4.34841,1983,02,03,    4.75,   -2.12,    1.70,    6.86
50.85401,4.34841,1983,02,04,    3.88,   -2.28,   -0.32,    6.15
50.85401,4.34841,1983,02,05,    4.78,   -1.33,    1.70,    6.10
50.85401,4.34841,1983,02,06,    3.84,    0.12,    1.92,    3.72
50.85401,4.34841,1983,02,07,    1.51,   -0.97,    0.20,    2.48
50.85401,4.34841,1983,02,08,    0.42,   -2.98,   -1.01,    3.40
50.85401,4.34841,1983,02,09,   -0.29,   -4.82,   -2.61,    4.53
50.85401,4.34841,1983,02,10,    0.12,   -4.94,   -2.41,    5.06
50.85401,4.34841,1983,02,11,   -0.20,   -3.83,   -2.24,    3.62
50.85401,4.34841,1983,02,12,   -0.39,   -5.53,   -3.33,    5.14
50.85401,4.34841,1983,02,13,   -0.70,   -6.37,   -4.34,    5.67
50.85401,4.34841,1983,02,14,   -0.27,   -7.94,   -4.11,    7.67
