-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,T2M_RANGE
50.25961,4.95191,1983,01,01,    0.13,   -3.67,   -1.98,    3.80
50.25961,4.95191,1983,01,02,    1.51,    0.13,    0.78,    1.38
50.25961,4.95191,1983,01,03,    7.52,    1.13,    4.76,    6.39
50.25961,4.95191,1983,01,04,    9.69,    5.47,    7.48,    4.23
50.25961,4.95191,1983,01,05,   11.55,    5.59,    9.39,    5.96
50.25961,4.95191,1983,01,06,    9.82,    5.46,    7.25,    4.36
50.25961,4.95191,1983,01,07,    5.74,    0.34,    3.65,    5.40
50.25961,4.95191,1983,01,08,    4.79,   -0.20,    2.52,    4.99
50.25961,4.95191,1983,01,09,    6.20,   -0.08,    2.96,    6.28
50.25961,4.95191,1983,01,10,    7.52,    3.44,    5.40,    4.08
50.25961,4.95191,1983,01,11,    6.99,    2.77,    4.74,    4.22
50.25961,4.95191,1983,01,12,    3.62,   -0.64,    1.64,    4.26
50.25961,4.95191,1983,01,13,    3.42,   -0.90,    1.29,    4.32
50.25961,4.95191,1983,01,14,    3.88,   -2.09,    0.56,    5.97
50.25961,4.95191,1983,01,15,    6.63,    2.53,    4.71,    4.10
50.25961,4.95191,1983,01,16,    8.06,    5.20,    6.53,    2.86
50.25961,4.95191,1983,01,17,    6.83,    4.45,    5.65,    2.38
50.25961,4.95191,1983,01,18,    6.23,   -0.11,    3.60,    6.34
50.25961,4.95191,1983,01,19,    2.97,   -0.73,    0.39,    3.70
50.25961,4.95191,1983,01,20,    2.79,   -1.64,   -0.23,    4.43
50.25961,4.95191,1983,01,21,    4.20,   -0.24,    1.63,    4.44
50.25961,4.95191,1983,01,22,    4.47,   -2.44,    1.13,    6.91
50.25961,4.95191,1983,01,23,    4.57,   -3.04,   -0.63,    7.61
