-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  51.2202   Longitude 4.4131 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 18.98 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
51.22021,4.41311,2009,01,01,    5.03,   -0.27,   -5.30,   -3.41,    1.64,    0.13,   92.08
51.22021,4.41311,2009,01,02,    5.70,    1.75,   -3.94,   -1.60,    4.27,    0.23,   95.64
51.22021,4.41311,2009,01,03,    5.38,   -0.51,   -5.88,   -3.31,    3.14,    0.06,   89.34
51.22021,4.41311,2009,01,04,    3.35,    1.59,   -1.76,    0.16,    7.32,    0.88,   90.63
51.22021,4.41311,2009,01,05,    6.59,    0.22,   -6.37,   -1.87,    8.10,    4.47,   91.88
51.22021,4.41311,2009,01,06,    7.34,   -3.59,  -10.93,   -7.82,    5.14,    0.00,   83.45
51.22021,4.41311,2009,01,07,   10.51,    1.43,   -9.08,   -2.83,    4.17,    0.39,   99.88
51.22021,4.41311,2009,01,08,    7.89,   -0.24,   -8.13,   -3.52,    3.32,    0.10,   96.73
51.22021,4.41311,2009,01,09,    6.03,   -3.55,   -9.58,   -7.74,    3.24,    0.01,   90.69
51.22021,4.41311,2009,01,10,    7.01,   -3.64,  -10.65,   -7.60,    5.28,    0.10,   95.17
51.22021,4.41311,2009,01,11,    7.75,    0.72,   -7.03,   -3.68,    8.66,    0.11,   88.13
51.22021,4.41311,2009,01,12,    4.61,    2.34,   -2.27,    0.17,   11.41,    1.16,   86.75
51.22021,4.41311,2009,01,13,    1.20,    2.55,    1.35,    1.89,    8.72,    7.16,   95.34
51.22021,4.41311,2009,01,14,    3.20,    3.70,    0.50,    1.87,    5.44,    0.54,  100.00
51.22021,4.41311,2009,01,15,    4.66,    4.11,   -0.55,    0.89,    7.09,    0.06,   93.11
51.22021,4.41311,2009,01,16,    2.71,    2.17,   -0.54,    0.89,    7.53,    0.27,   93.06
51.22021,4.41311,2009,01,17,    4.02,    6.00,    1.98,    3.47,   10.62,    1.58,   97.31
51.22021,4.41311,2009,01,18,    5.30,    5.97,    0.67,    3.66,   11.92,    6.91,   95.09
51.22021,4.41311,2009,01,19,    8.01,    8.89,    0.89,    4.21,   12.08,    6.26,   94.79
51.22021,4.41311,2009,01,20,    4.33,    5.55,    1.22,    2.54,    8.81,    0.67,   94.19
51.22021,4.41311,2009,01,21,    3.17,    3.21,    0.04,    1.28,    7.01,    0.39,   96.08
51.22021,4.41311,2009,01,22,    3.91,    4.44,    0.54,    2.58,   12.18,    6.57,   93.67
51.22021,4.41311,2009,01,23,    4.97,    6.96,    1.99,    3.92,   12.47,   22.63,   94.07
51.22021,4.41311,2009,01,24,    5.20,    4.82,   -0.38,    1.69,    5.77,    0.12,   96.83
51.22021,4.41311,2009,01,25,    5.00,    3.92,   -1.08,    0.86,    9.11,    0.10,   90.55
51.22021,4.41311,2009,01,26,    5.68,    4.17,   -1.52,    0.53,    4.06,    0.05,   92.72
51.22021,4.41311,2009,01,27,    4.94,    2.42,   -2.52,   -1.14,    3.18,    0.06,   95.62
51.22021,4.41311,2009,01,28,    6.05,    3.43,   -2.62,   -0.78,    5.25,    0.00,   86.17
51.22021,4.41311,2009,01,29,    6.50,    2.89,   -3.61,   -1.19,    5.54,    0.00,   89.73
51.22021,4.41311,2009,01,30,    9.09,    3.91,   -5.18,   -1.47,    7.30,    0.01,   89.24
51.22021,4.41311,2009,01,31,    7.53,    2.73,   -4.80,   -1.92,    8.81,    0.00,   85.64
51.22021,4.41311,2009,02,01,    3.79,   -0.43,   -4.22,   -2.45,   10.21,    0.18,   85.21
51.22021,4.41311,2009,02,02,    4.44,    1.42,   -3.02,   -0.70,    9.49,    3.65,   90.25
51.22021,4.41311,2009,02,03,    5.34,    1.65,   -3.69,   -0.11,    4.30,    1.93,   93.70
51.22021,4.41311,2009,02,04,    5.99,    1.21,   -4.78,   -1.84,    2.90,    0.16,   92.83
51.22021,4.41311,2009,02,05,    7.09,    5.67,   -1.42,    1.78,    7.58,    2.31,   98.04
51.22021,4.41311,2009,02,06,    4.93,    5.26,    0.33,    1.58,    5.41,    0.66,  100.00
51.22021,4.41311,2009,02,07,    5.09,    3.72,   -1.37,    1.37,    6.20,    2.16,   97.85
51.22021,4.41311,2009,02,08,    3.41,    3.27,   -0.13,    1.04,    6.91,    0.78,   93.22
