-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  50.8454   Longitude 4.3484 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
50.84541,4.34841,2009,01,01,    5.21,   -1.34,   -6.54,   -4.81,    2.94,    0.04,   93.89
50.84541,4.34841,2009,01,02,    6.90,    0.70,   -6.20,   -2.90,    3.90,    0.20,   95.15
50.84541,4.34841,2009,01,03,    5.40,   -0.52,   -5.92,   -3.75,    3.25,    0.03,   88.04
50.84541,4.34841,2009,01,04,    4.70,    0.61,   -4.10,   -1.58,    6.53,    0.31,   89.88
50.84541,4.34841,2009,01,05,    6.55,   -0.34,   -6.89,   -2.44,    7.08,    4.08,   93.40
50.84541,4.34841,2009,01,06,    6.74,   -4.72,  -11.46,   -8.82,    5.54,    0.01,   84.16
50.84541,4.34841,2009,01,07,    9.76,   -1.01,  -10.76,   -4.92,    2.90,    0.26,   97.74
50.84541,4.34841,2009,01,08,    9.11,   -0.58,   -9.69,   -4.65,    4.14,    0.07,   97.01
50.84541,4.34841,2009,01,09,    7.17,   -4.04,  -11.20,   -8.97,    3.52,    0.01,   93.09
50.84541,4.34841,2009,01,10,    8.50,   -3.37,  -11.87,   -8.25,    5.56,    0.05,   95.53
50.84541,4.34841,2009,01,11,    8.27,    0.49,   -7.78,   -4.23,    8.58,    0.05,   87.68
50.84541,4.34841,2009,01,12,    5.52,    1.99,   -3.53,   -0.76,   11.15,    0.78,   85.24
50.84541,4.34841,2009,01,13,    1.69,    2.66,    0.97,    1.58,    8.85,    7.88,   93.41
50.84541,4.34841,2009,01,14,    2.47,    2.52,    0.04,    1.19,    5.17,    0.52,  100.00
50.84541,4.34841,2009,01,15,    4.93,    3.78,   -1.15,    0.35,    7.18,    0.01,   93.85
50.84541,4.34841,2009,01,16,    3.42,    2.34,   -1.07,    0.60,    7.84,    0.21,   93.68
50.84541,4.34841,2009,01,17,    3.45,    5.36,    1.92,    3.18,   10.37,    1.16,   97.63
50.84541,4.34841,2009,01,18,    4.68,    5.45,    0.76,    3.26,   12.00,    8.73,   95.78
50.84541,4.34841,2009,01,19,    7.93,    8.91,    0.99,    4.20,   12.45,    6.66,   94.62
50.84541,4.34841,2009,01,20,    4.66,    5.39,    0.73,    2.11,    8.93,    0.55,   94.03
50.84541,4.34841,2009,01,21,    4.13,    3.51,   -0.62,    0.90,    6.74,    0.32,   95.96
50.84541,4.34841,2009,01,22,    3.49,    3.64,    0.15,    2.08,   12.14,    5.96,   93.63
50.84541,4.34841,2009,01,23,    6.08,    7.32,    1.24,    3.88,   13.38,   20.96,   93.91
50.84541,4.34841,2009,01,24,    5.50,    3.93,   -1.56,    0.79,    5.04,    0.11,   97.48
50.84541,4.34841,2009,01,25,    5.22,    3.75,   -1.47,    0.58,    9.30,    0.07,   89.45
50.84541,4.34841,2009,01,26,    5.33,    4.23,   -1.10,    0.85,    3.70,    0.16,   93.21
50.84541,4.34841,2009,01,27,    6.34,    3.20,   -3.14,   -1.19,    3.07,    0.05,   96.27
50.84541,4.34841,2009,01,28,    6.68,    3.44,   -3.24,   -1.20,    5.50,    0.00,   85.86
50.84541,4.34841,2009,01,29,    6.65,    3.01,   -3.64,   -1.35,    5.39,    0.00,   89.53
50.84541,4.34841,2009,01,30,    9.74,    4.14,   -5.60,   -1.69,    7.16,    0.00,   88.70
50.84541,4.34841,2009,01,31,    7.94,    2.63,   -5.31,   -2.36,    8.38,    0.00,   84.67
50.84541,4.34841,2009,02,01,    5.07,   -0.22,   -5.30,   -2.90,    9.25,    0.13,   84.79
50.84541,4.34841,2009,02,02,    5.00,    1.84,   -3.15,   -0.77,    8.65,    3.66,   89.90
50.84541,4.34841,2009,02,03,    5.82,    1.31,   -4.51,   -0.55,    3.98,    1.69,   93.54
50.84541,4.34841,2009,02,04,    6.57,    1.21,   -5.36,   -2.04,    3.32,    0.31,   94.96
50.84541,4.34841,2009,02,05,    7.21,    6.00,   -1.21,    1.97,    8.19,    2.19,   97.78
50.84541,4.34841,2009,02,06,    5.72,    5.50,   -0.21,    1.63,    6.15,    0.30,  100.00
50.84541,4.34841,2009,02,07,    4.97,    2.92,   -2.05,    0.85,    5.21,    2.77,   98.79
50.84541,4.34841,2009,02,08,    3.31,    3.10,   -0.21,    0.73,    6.77,    0.75,   93.61
50.84541,4.34841,2009,02,09,    6.47,    6.31,   -0.16,    1.73,    9.19,   14.51,   96.70
50.84541,4.34841,2009,02,10,    5.34,    6.25,    0.90,    3.48,   12.50,    8.95,   95.79
50.84541,4.34841,2009,02,11,    7.15,    5.20,   -1.95,    1.60,    7.42,    2.44,   90.84
50.84541,4.34841,2009,02,12,    4.23,    3.07,   -1.16,    0.48,    6.32,    1.18,   94.25
50.84541,4.34841,2009,02,13,    4.62,    3.21,   -1.40,    0.15,    4.93,    0.53,   93.62
50.84541,4.34841,2009,02,14,    7.47,    3.39,   -4.08,   -0.74,    4.00,    0.02,   81.35
50.84541,4.34841,2009,02,15,    5.53,    2.70,   -2.84,    0.27,    6.42,    3.25,   88.37
50.84541,4.34841,2009,02,16,    4.51,    6.48,    1.97,    4.10,    6.44,    5.67,   99.29
50.84541,4.34841,2009,02,17,    9.03,    6.88,   -2.15,    4.32,    7.80,    4.86,   98.04
50.84541,4.34841,2009,02,18,    4.70,    2.32,   -2.38,   -0.78,    3.41,    0.01,   74.95
