-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2009 through 12/31/2020 
Location: Latitude  50.2596   Longitude 4.9519 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 213.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C) 
WS50M MERRA2 1/2x1/2 Wind Speed at 50 Meters (m/s) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
PRECTOT MERRA2 1/2x1/2 Precipitation (mm day-1) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE,T2M_MAX,T2M_MIN,T2M,WS50M,PRECTOT,RH2M
50.25961,4.95191,2009,01,01,    5.62,   -1.58,   -7.20,   -4.99,    3.70,    0.02,   93.80
50.25961,4.95191,2009,01,02,    7.01,   -0.33,   -7.34,   -3.92,    4.16,    0.18,   95.32
50.25961,4.95191,2009,01,03,    5.60,   -0.60,   -6.20,   -4.15,    3.71,    0.02,   87.32
50.25961,4.95191,2009,01,04,    4.79,   -0.75,   -5.54,   -3.09,    5.12,    0.19,   87.07
50.25961,4.95191,2009,01,05,    7.17,   -0.38,   -7.55,   -2.91,    5.76,    3.47,   93.62
50.25961,4.95191,2009,01,06,    7.18,   -4.96,  -12.14,   -9.26,    5.71,    0.01,   84.36
50.25961,4.95191,2009,01,07,    8.82,   -3.36,  -12.17,   -7.19,    2.44,    0.15,   90.09
50.25961,4.95191,2009,01,08,    9.10,   -1.68,  -10.78,   -6.35,    5.19,    0.05,   95.06
50.25961,4.95191,2009,01,09,    8.13,   -4.10,  -12.23,   -9.56,    4.54,    0.01,   92.57
50.25961,4.95191,2009,01,10,    8.82,   -3.09,  -11.90,   -8.31,    5.95,    0.03,   95.27
50.25961,4.95191,2009,01,11,    7.94,   -0.33,   -8.27,   -4.96,    8.16,    0.03,   88.63
50.25961,4.95191,2009,01,12,    5.80,    0.26,   -5.54,   -2.41,   10.41,    0.46,   83.95
50.25961,4.95191,2009,01,13,    2.01,    1.77,   -0.24,    0.55,    8.57,    3.87,   89.97
50.25961,4.95191,2009,01,14,    2.31,    1.57,   -0.74,    0.57,    4.49,    0.66,   99.03
50.25961,4.95191,2009,01,15,    5.15,    2.74,   -2.41,   -0.61,    6.90,    0.02,   94.67
50.25961,4.95191,2009,01,16,    3.56,    1.36,   -2.20,   -0.22,    8.11,    0.24,   94.89
50.25961,4.95191,2009,01,17,    2.92,    4.00,    1.07,    2.28,    9.64,    1.01,   97.92
50.25961,4.95191,2009,01,18,    3.35,    4.18,    0.83,    2.54,   12.20,   11.77,   96.90
50.25961,4.95191,2009,01,19,    6.69,    7.63,    0.94,    3.53,   12.63,    8.31,   96.41
50.25961,4.95191,2009,01,20,    3.99,    3.82,   -0.17,    1.13,    8.66,    0.35,   95.20
50.25961,4.95191,2009,01,21,    3.56,    2.83,   -0.73,    0.47,    5.89,    0.36,   96.51
50.25961,4.95191,2009,01,22,    2.73,    2.18,   -0.55,    0.98,   11.80,    5.38,   94.13
50.25961,4.95191,2009,01,23,    6.19,    6.68,    0.49,    3.31,   13.97,   20.07,   94.79
50.25961,4.95191,2009,01,24,    4.93,    3.22,   -1.70,    0.41,    4.37,    0.11,   95.95
50.25961,4.95191,2009,01,25,    4.43,    2.83,   -1.60,   -0.14,    9.01,    0.07,   90.64
50.25961,4.95191,2009,01,26,    5.38,    3.74,   -1.64,    0.49,    3.84,    0.21,   92.44
50.25961,4.95191,2009,01,27,    6.75,    3.22,   -3.53,   -0.86,    3.09,    0.08,   93.59
50.25961,4.95191,2009,01,28,    6.28,    2.45,   -3.83,   -1.74,    5.44,    0.00,   86.35
50.25961,4.95191,2009,01,29,    7.19,    2.54,   -4.64,   -2.05,    5.79,    0.00,   90.47
50.25961,4.95191,2009,01,30,    8.85,    3.12,   -5.73,   -2.23,    8.15,    0.00,   88.35
50.25961,4.95191,2009,01,31,    7.12,    1.35,   -5.77,   -3.10,    9.55,    0.00,   84.78
50.25961,4.95191,2009,02,01,    5.85,   -0.57,   -6.42,   -3.63,    8.81,    0.08,   84.81
50.25961,4.95191,2009,02,02,    5.38,    1.85,   -3.53,   -1.00,    9.24,    3.29,   89.47
50.25961,4.95191,2009,02,03,    4.60,    1.20,   -3.40,   -0.55,    3.65,    2.58,   94.11
50.25961,4.95191,2009,02,04,    5.83,    1.31,   -4.52,   -1.50,    4.07,    0.62,   95.80
50.25961,4.95191,2009,02,05,    5.91,    5.27,   -0.64,    2.01,    9.01,    1.74,   98.14
50.25961,4.95191,2009,02,06,    4.28,    4.28,    0.00,    1.53,    6.81,    0.17,  100.00
50.25961,4.95191,2009,02,07,    4.13,    2.27,   -1.86,    0.29,    4.44,    2.02,   98.28
50.25961,4.95191,2009,02,08,    3.91,    2.40,   -1.51,   -0.03,    6.36,    0.57,   93.42
50.25961,4.95191,2009,02,09,    6.36,    5.34,   -1.02,    1.06,    9.83,   14.99,   96.57
50.25961,4.95191,2009,02,10,    4.84,    5.32,    0.49,    2.55,   13.55,   12.43,   97.08
50.25961,4.95191,2009,02,11,    5.57,    3.55,   -2.02,    0.69,    6.95,    3.46,   91.29
50.25961,4.95191,2009,02,12,    3.69,    1.92,   -1.76,   -0.24,    6.35,    1.61,   94.33
50.25961,4.95191,2009,02,13,    4.12,    2.11,   -2.01,   -0.56,    4.40,    0.70,   92.68
50.25961,4.95191,2009,02,14,    6.12,    2.31,   -3.81,   -1.69,    4.85,    0.08,   83.41
50.25961,4.95191,2009,02,15,    5.35,    1.50,   -3.85,   -1.00,    5.25,    3.21,   87.35
50.25961,4.95191,2009,02,16,    3.56,    3.99,    0.43,    2.42,    6.16,    6.24,   99.73
50.25961,4.95191,2009,02,17,    7.20,    4.93,   -2.27,    2.88,    8.04,    6.73,   99.40
