-BEGIN HEADER-,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,
Dates (month/day/year): 01/01/2000 through 05/07/2021 ,,,,,,
Location: Latitude  50.8454   Longitude 4.3484 ,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.01 meters   Site = na ,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,
-END HEADER-,,,,,,
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
50.84541,4.34841,2000,1,1,3.4,7.42
50.84541,4.34841,2000,1,2,4.94,6.93
50.84541,4.34841,2000,1,3,4.71,6.11
50.84541,4.34841,2000,1,4,3.92,7.58
50.84541,4.34841,2000,1,5,1.91,6.03
50.84541,4.34841,2000,1,6,3.75,6.66
50.84541,4.34841,2000,1,7,4.27,6.3
50.84541,4.34841,2000,1,8,2.28,7.25
50.84541,4.34841,2000,1,9,-0.49,5.78
50.84541,4.34841,2000,1,10,-2.16,4.06
50.84541,4.34841,2000,1,11,-2.57,3.6
50.84541,4.34841,2000,1,12,-2.71,1.63
50.84541,4.34841,2000,1,13,-0.8,2.05
50.84541,4.34841,2000,1,14,-0.6,4.38
50.84541,4.34841,2000,1,15,-1.11,3.21
50.84541,4.34841,2000,1,16,-1.11,4.99
50.84541,4.34841,2000,1,17,2.61,7.45
50.84541,4.34841,2000,1,18,3.16,7.07
50.84541,4.34841,2000,1,19,0.17,5.39
50.84541,4.34841,2000,1,20,0.46,4.63
50.84541,4.34841,2000,1,21,2.37,6.07
50.84541,4.34841,2000,1,22,2.38,5.3
50.84541,4.34841,2000,1,23,-4.3,3.75
50.84541,4.34841,2000,1,24,-5.79,0.61
50.84541,4.34841,2000,1,25,-3.61,2.34
50.84541,4.34841,2000,1,26,-4.95,2.42
50.84541,4.34841,2000,1,27,-5.96,2.32
50.84541,4.34841,2000,1,28,-5.25,2.99
50.84541,4.34841,2000,1,29,3.47,8.92
50.84541,4.34841,2000,1,30,7.91,10.45
50.84541,4.34841,2000,1,31,7.05,10.04
50.84541,4.34841,2000,2,1,4.57,8.52
50.84541,4.34841,2000,2,2,2.28,8.34
50.84541,4.34841,2000,2,3,2.79,7.93
50.84541,4.34841,2000,2,4,4.38,8.46
50.84541,4.34841,2000,2,5,1.63,10.64
50.84541,4.34841,2000,2,6,3.89,7.83
50.84541,4.34841,2000,2,7,4.26,8.73
50.84541,4.34841,2000,2,8,5.34,12.09
50.84541,4.34841,2000,2,9,3.34,8.26
50.84541,4.34841,2000,2,10,-0.11,6.67
50.84541,4.34841,2000,2,11,-0.71,7.82
50.84541,4.34841,2000,2,12,-1.28,6.15
50.84541,4.34841,2000,2,13,-0.86,8.45
50.84541,4.34841,2000,2,14,-1.85,7.99
50.84541,4.34841,2000,2,15,4.69,8.52
50.84541,4.34841,2000,2,16,1.76,5.14
50.84541,4.34841,2000,2,17,-0.72,5.95
50.84541,4.34841,2000,2,18,0.83,8.36
50.84541,4.34841,2000,2,19,0.42,7.4
50.84541,4.34841,2000,2,20,-1.05,6.47
50.84541,4.34841,2000,2,21,-1.58,7.36
50.84541,4.34841,2000,2,22,1.22,7.2
50.84541,4.34841,2000,2,23,1.01,10.39
50.84541,4.34841,2000,2,24,6.17,10.68
50.84541,4.34841,2000,2,25,-0.91,10.5
50.84541,4.34841,2000,2,26,-2.1,8.45
50.84541,4.34841,2000,2,27,-0.48,13.17
50.84541,4.34841,2000,2,28,3.79,9
50.84541,4.34841,2000,2,29,2.71,7.78
50.84541,4.34841,2000,3,1,1.79,6.75
50.84541,4.34841,2000,3,2,-0.56,7
50.84541,4.34841,2000,3,3,2.94,8.8
50.84541,4.34841,2000,3,4,-1.26,4.36
50.84541,4.34841,2000,3,5,-1.91,7.28
50.84541,4.34841,2000,3,6,-0.55,9.76
50.84541,4.34841,2000,3,7,5.66,12.82
50.84541,4.34841,2000,3,8,7.71,13.19
50.84541,4.34841,2000,3,9,8.24,12.92
50.84541,4.34841,2000,3,10,6.51,11.59
50.84541,4.34841,2000,3,11,4.44,10.39
50.84541,4.34841,2000,3,12,2.79,11.7
50.84541,4.34841,2000,3,13,1.99,11.58
50.84541,4.34841,2000,3,14,3.6,11.52
50.84541,4.34841,2000,3,15,1.82,8.62
50.84541,4.34841,2000,3,16,4.26,11.32
50.84541,4.34841,2000,3,17,5.07,11.16
50.84541,4.34841,2000,3,18,4.39,8.36
50.84541,4.34841,2000,3,19,1.53,9.35
50.84541,4.34841,2000,3,20,1.13,11.22
50.84541,4.34841,2000,3,21,1.5,14.05
50.84541,4.34841,2000,3,22,0.87,15.3
50.84541,4.34841,2000,3,23,3.64,15.02
50.84541,4.34841,2000,3,24,6.96,11.82
50.84541,4.34841,2000,3,25,5.41,11.15
50.84541,4.34841,2000,3,26,3.25,8.07
50.84541,4.34841,2000,3,27,2.1,8.15
50.84541,4.34841,2000,3,28,2.19,6.04
50.84541,4.34841,2000,3,29,3.02,7.64
50.84541,4.34841,2000,3,30,4.51,8.34
50.84541,4.34841,2000,3,31,4.21,8.21
50.84541,4.34841,2000,4,1,2.99,9.14
50.84541,4.34841,2000,4,2,4.67,13.99
50.84541,4.34841,2000,4,3,4.81,14
