-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 05/07/2021 
Location: Latitude  48.8566   Longitude 2.3522 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 108.75 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
48.85661,2.35221,2000,01,01,    4.69,    8.80
48.85661,2.35221,2000,01,02,    5.22,    7.56
48.85661,2.35221,2000,01,03,    3.64,    6.86
48.85661,2.35221,2000,01,04,    3.78,    8.51
48.85661,2.35221,2000,01,05,    4.00,    8.66
48.85661,2.35221,2000,01,06,    3.47,    6.81
48.85661,2.35221,2000,01,07,    3.10,    4.76
48.85661,2.35221,2000,01,08,    3.76,    8.65
48.85661,2.35221,2000,01,09,   -0.51,    5.74
48.85661,2.35221,2000,01,10,   -2.16,    4.33
48.85661,2.35221,2000,01,11,   -3.96,    1.75
48.85661,2.35221,2000,01,12,   -3.68,    1.93
48.85661,2.35221,2000,01,13,   -2.65,    0.77
48.85661,2.35221,2000,01,14,   -0.54,    4.11
48.85661,2.35221,2000,01,15,   -1.85,    4.22
48.85661,2.35221,2000,01,16,   -2.48,    3.80
48.85661,2.35221,2000,01,17,    0.76,    7.59
48.85661,2.35221,2000,01,18,    3.20,    6.62
48.85661,2.35221,2000,01,19,    0.65,    5.98
48.85661,2.35221,2000,01,20,   -0.46,    5.81
48.85661,2.35221,2000,01,21,    0.49,    7.20
48.85661,2.35221,2000,01,22,    1.74,    5.72
48.85661,2.35221,2000,01,23,   -0.37,    5.32
48.85661,2.35221,2000,01,24,   -5.59,    2.22
48.85661,2.35221,2000,01,25,   -5.76,    1.50
48.85661,2.35221,2000,01,26,   -7.55,    0.70
48.85661,2.35221,2000,01,27,   -8.84,    2.07
48.85661,2.35221,2000,01,28,   -5.65,    4.94
48.85661,2.35221,2000,01,29,    2.98,    8.51
48.85661,2.35221,2000,01,30,    7.65,   10.90
48.85661,2.35221,2000,01,31,    6.29,   10.31
48.85661,2.35221,2000,02,01,    3.73,    7.91
48.85661,2.35221,2000,02,02,    0.92,    8.90
48.85661,2.35221,2000,02,03,    1.21,    8.60
48.85661,2.35221,2000,02,04,    1.72,    8.51
48.85661,2.35221,2000,02,05,   -0.30,   12.63
48.85661,2.35221,2000,02,06,    4.13,    9.01
48.85661,2.35221,2000,02,07,    4.95,    9.17
48.85661,2.35221,2000,02,08,    5.90,   12.55
48.85661,2.35221,2000,02,09,    2.21,   10.02
48.85661,2.35221,2000,02,10,    1.63,    7.98
48.85661,2.35221,2000,02,11,   -1.62,    8.28
48.85661,2.35221,2000,02,12,   -2.66,    8.06
48.85661,2.35221,2000,02,13,    4.88,   11.69
48.85661,2.35221,2000,02,14,    2.69,    9.22
48.85661,2.35221,2000,02,15,    6.95,   10.24
48.85661,2.35221,2000,02,16,    1.44,    7.32
48.85661,2.35221,2000,02,17,    2.39,    7.53
48.85661,2.35221,2000,02,18,    2.37,   11.37
48.85661,2.35221,2000,02,19,    1.26,    9.35
48.85661,2.35221,2000,02,20,    0.22,    7.37
48.85661,2.35221,2000,02,21,   -2.99,    8.05
48.85661,2.35221,2000,02,22,   -0.33,    8.48
48.85661,2.35221,2000,02,23,   -1.71,   10.16
48.85661,2.35221,2000,02,24,    6.23,   12.05
48.85661,2.35221,2000,02,25,    1.19,   10.42
48.85661,2.35221,2000,02,26,    0.04,   10.18
48.85661,2.35221,2000,02,27,    0.63,   16.32
48.85661,2.35221,2000,02,28,    3.51,    9.47
48.85661,2.35221,2000,02,29,    3.09,    9.49
48.85661,2.35221,2000,03,01,    1.98,    8.10
48.85661,2.35221,2000,03,02,   -0.01,    8.43
48.85661,2.35221,2000,03,03,    5.06,    9.87
48.85661,2.35221,2000,03,04,   -2.48,    7.46
48.85661,2.35221,2000,03,05,   -3.36,    8.92
48.85661,2.35221,2000,03,06,   -2.98,   10.17
48.85661,2.35221,2000,03,07,    0.62,   14.26
48.85661,2.35221,2000,03,08,    3.97,   15.91
48.85661,2.35221,2000,03,09,    6.20,   15.75
48.85661,2.35221,2000,03,10,    6.52,   15.53
48.85661,2.35221,2000,03,11,    4.64,   12.25
48.85661,2.35221,2000,03,12,    2.35,   12.49
48.85661,2.35221,2000,03,13,    1.18,   14.71
48.85661,2.35221,2000,03,14,    5.08,   15.30
48.85661,2.35221,2000,03,15,    0.72,   10.88
48.85661,2.35221,2000,03,16,    0.21,   12.41
48.85661,2.35221,2000,03,17,    4.76,   13.31
48.85661,2.35221,2000,03,18,    3.70,   11.88
48.85661,2.35221,2000,03,19,    3.46,   12.35
48.85661,2.35221,2000,03,20,    2.25,   12.15
48.85661,2.35221,2000,03,21,    0.75,   14.48
48.85661,2.35221,2000,03,22,    0.87,   16.01
48.85661,2.35221,2000,03,23,    4.55,   17.13
48.85661,2.35221,2000,03,24,    7.15,   14.02
48.85661,2.35221,2000,03,25,    5.11,   11.06
48.85661,2.35221,2000,03,26,    3.87,    9.48
48.85661,2.35221,2000,03,27,    3.84,    8.65
48.85661,2.35221,2000,03,28,    2.44,    8.97
48.85661,2.35221,2000,03,29,    1.91,    7.33
48.85661,2.35221,2000,03,30,    4.15,    8.01
48.85661,2.35221,2000,03,31,    3.40,   11.47
48.85661,2.35221,2000,04,01,    3.03,   10.36
48.85661,2.35221,2000,04,02,    3.67,   16.61
48.85661,2.35221,2000,04,03,    6.32,   14.56
48.85661,2.35221,2000,04,04,    4.06,   14.05
48.85661,2.35221,2000,04,05,    2.16,    8.19
48.85661,2.35221,2000,04,06,   -1.72,   10.02
48.85661,2.35221,2000,04,07,   -2.74,   14.09
48.85661,2.35221,2000,04,08,    0.21,   15.96
48.85661,2.35221,2000,04,09,    3.84,   12.93
48.85661,2.35221,2000,04,10,    2.80,   15.53
48.85661,2.35221,2000,04,11,    0.79,   11.00
48.85661,2.35221,2000,04,12,    2.40,    8.78
48.85661,2.35221,2000,04,13,    2.52,   11.70
48.85661,2.35221,2000,04,14,    4.47,   10.71
48.85661,2.35221,2000,04,15,    1.42,    9.54
48.85661,2.35221,2000,04,16,    1.04,   12.29
48.85661,2.35221,2000,04,17,    5.20,   13.56
48.85661,2.35221,2000,04,18,    6.44,   16.43
48.85661,2.35221,2000,04,19,    7.31,   15.55
48.85661,2.35221,2000,04,20,    6.21,   17.77
48.85661,2.35221,2000,04,21,    7.40,   16.93
48.85661,2.35221,2000,04,22,   10.45,   17.42
48.85661,2.35221,2000,04,23,    6.09,   13.00
48.85661,2.35221,2000,04,24,    5.76,   15.79
48.85661,2.35221,2000,04,25,    8.03,   18.56
48.85661,2.35221,2000,04,26,    8.41,   16.30
48.85661,2.35221,2000,04,27,    6.90,   15.79
48.85661,2.35221,2000,04,28,    7.35,   13.56
48.85661,2.35221,2000,04,29,    5.69,   18.12
48.85661,2.35221,2000,04,30,    8.03,   20.20
48.85661,2.35221,2000,05,01,    8.03,   21.07
48.85661,2.35221,2000,05,02,    9.27,   17.55
48.85661,2.35221,2000,05,03,    9.39,   16.72
48.85661,2.35221,2000,05,04,    9.39,   20.57
48.85661,2.35221,2000,05,05,   10.42,   22.42
48.85661,2.35221,2000,05,06,   11.44,   21.50
48.85661,2.35221,2000,05,07,   12.44,   21.48
48.85661,2.35221,2000,05,08,   11.06,   21.07
48.85661,2.35221,2000,05,09,   12.24,   23.25
48.85661,2.35221,2000,05,10,   14.77,   22.48
48.85661,2.35221,2000,05,11,   12.77,   22.07
48.85661,2.35221,2000,05,12,   11.38,   20.88
48.85661,2.35221,2000,05,13,   10.79,   22.74
48.85661,2.35221,2000,05,14,   12.34,   24.96
48.85661,2.35221,2000,05,15,   12.81,   25.72
48.85661,2.35221,2000,05,16,   14.07,   24.62
48.85661,2.35221,2000,05,17,   11.30,   17.59
48.85661,2.35221,2000,05,18,    7.55,   16.16
48.85661,2.35221,2000,05,19,    5.72,   13.82
48.85661,2.35221,2000,05,20,    4.42,   17.02
48.85661,2.35221,2000,05,21,    6.86,   15.49
48.85661,2.35221,2000,05,22,    6.34,   17.72
48.85661,2.35221,2000,05,23,    9.02,   18.96
48.85661,2.35221,2000,05,24,   10.03,   17.01
48.85661,2.35221,2000,05,25,   10.80,   17.57
48.85661,2.35221,2000,05,26,    8.14,   19.92
48.85661,2.35221,2000,05,27,    7.07,   16.05
48.85661,2.35221,2000,05,28,    7.26,   15.27
48.85661,2.35221,2000,05,29,    5.36,   15.64
48.85661,2.35221,2000,05,30,    7.85,   15.86
48.85661,2.35221,2000,05,31,    8.67,   18.48
48.85661,2.35221,2000,06,01,   11.67,   21.18
48.85661,2.35221,2000,06,02,   12.18,   26.27
48.85661,2.35221,2000,06,03,   14.52,   25.68
48.85661,2.35221,2000,06,04,   12.36,   20.50
48.85661,2.35221,2000,06,05,    9.55,   16.27
48.85661,2.35221,2000,06,06,    7.84,   17.63
48.85661,2.35221,2000,06,07,    8.52,   19.84
48.85661,2.35221,2000,06,08,    8.09,   23.34
48.85661,2.35221,2000,06,09,   13.82,   25.23
48.85661,2.35221,2000,06,10,   10.13,   17.67
48.85661,2.35221,2000,06,11,    8.06,   20.35
48.85661,2.35221,2000,06,12,    7.72,   22.31
48.85661,2.35221,2000,06,13,   12.12,   24.13
48.85661,2.35221,2000,06,14,   11.51,   23.89
48.85661,2.35221,2000,06,15,   12.80,   23.09
48.85661,2.35221,2000,06,16,   12.12,   23.22
48.85661,2.35221,2000,06,17,   11.58,   23.42
48.85661,2.35221,2000,06,18,   10.18,   26.33
48.85661,2.35221,2000,06,19,   16.58,   28.88
48.85661,2.35221,2000,06,20,   17.07,   27.71
48.85661,2.35221,2000,06,21,   15.04,   24.50
48.85661,2.35221,2000,06,22,   12.23,   20.25
48.85661,2.35221,2000,06,23,   11.33,   20.18
48.85661,2.35221,2000,06,24,    8.38,   17.06
48.85661,2.35221,2000,06,25,    6.82,   19.59
48.85661,2.35221,2000,06,26,    8.69,   19.39
48.85661,2.35221,2000,06,27,    7.67,   19.76
48.85661,2.35221,2000,06,28,   10.48,   21.61
48.85661,2.35221,2000,06,29,    9.99,   22.62
48.85661,2.35221,2000,06,30,   12.71,   23.67
48.85661,2.35221,2000,07,01,   15.19,   25.04
48.85661,2.35221,2000,07,02,   14.56,   23.39
48.85661,2.35221,2000,07,03,   13.65,   23.36
48.85661,2.35221,2000,07,04,   13.84,   19.71
48.85661,2.35221,2000,07,05,   12.02,   20.64
48.85661,2.35221,2000,07,06,   13.30,   24.09
48.85661,2.35221,2000,07,07,   10.21,   20.88
48.85661,2.35221,2000,07,08,    7.86,   17.85
48.85661,2.35221,2000,07,09,   10.83,   16.97
48.85661,2.35221,2000,07,10,   10.67,   18.74
48.85661,2.35221,2000,07,11,    8.67,   17.02
48.85661,2.35221,2000,07,12,    7.16,   18.64
48.85661,2.35221,2000,07,13,   12.02,   18.22
48.85661,2.35221,2000,07,14,   10.67,   19.09
48.85661,2.35221,2000,07,15,    9.02,   17.19
48.85661,2.35221,2000,07,16,    7.54,   17.70
48.85661,2.35221,2000,07,17,    8.45,   18.08
48.85661,2.35221,2000,07,18,    9.72,   21.53
48.85661,2.35221,2000,07,19,    9.57,   22.89
48.85661,2.35221,2000,07,20,   13.26,   24.26
48.85661,2.35221,2000,07,21,   10.52,   23.73
48.85661,2.35221,2000,07,22,   11.24,   22.29
48.85661,2.35221,2000,07,23,   13.04,   24.96
48.85661,2.35221,2000,07,24,   14.97,   21.17
48.85661,2.35221,2000,07,25,   12.91,   21.38
48.85661,2.35221,2000,07,26,   14.64,   21.66
48.85661,2.35221,2000,07,27,   14.09,   21.27
48.85661,2.35221,2000,07,28,   13.91,   21.36
48.85661,2.35221,2000,07,29,   12.20,   20.91
48.85661,2.35221,2000,07,30,   10.77,   22.61
48.85661,2.35221,2000,07,31,   11.62,   25.74
48.85661,2.35221,2000,08,01,   13.20,   28.18
48.85661,2.35221,2000,08,02,   13.12,   22.50
48.85661,2.35221,2000,08,03,   12.37,   21.36
48.85661,2.35221,2000,08,04,   11.24,   20.00
48.85661,2.35221,2000,08,05,   11.30,   22.44
48.85661,2.35221,2000,08,06,   11.36,   23.88
48.85661,2.35221,2000,08,07,   13.64,   24.80
48.85661,2.35221,2000,08,08,   14.53,   21.98
48.85661,2.35221,2000,08,09,   13.66,   25.94
48.85661,2.35221,2000,08,10,   13.80,   25.64
48.85661,2.35221,2000,08,11,   12.16,   26.32
48.85661,2.35221,2000,08,12,   13.79,   28.15
48.85661,2.35221,2000,08,13,   17.38,   26.17
48.85661,2.35221,2000,08,14,   15.75,   26.74
48.85661,2.35221,2000,08,15,   16.03,   24.47
48.85661,2.35221,2000,08,16,   13.57,   26.00
48.85661,2.35221,2000,08,17,   15.02,   23.81
48.85661,2.35221,2000,08,18,   12.94,   25.39
48.85661,2.35221,2000,08,19,   15.59,   22.76
48.85661,2.35221,2000,08,20,   12.67,   21.22
48.85661,2.35221,2000,08,21,   11.94,   20.94
48.85661,2.35221,2000,08,22,   10.15,   22.23
48.85661,2.35221,2000,08,23,   10.88,   25.63
48.85661,2.35221,2000,08,24,   12.23,   28.65
48.85661,2.35221,2000,08,25,   13.88,   29.58
48.85661,2.35221,2000,08,26,   13.89,   25.13
48.85661,2.35221,2000,08,27,   13.24,   21.53
48.85661,2.35221,2000,08,28,   12.25,   21.20
48.85661,2.35221,2000,08,29,   12.41,   22.87
48.85661,2.35221,2000,08,30,   11.66,   23.71
48.85661,2.35221,2000,08,31,   10.69,   23.35
48.85661,2.35221,2000,09,01,   13.42,   20.59
48.85661,2.35221,2000,09,02,   12.66,   19.85
48.85661,2.35221,2000,09,03,   10.06,   19.45
48.85661,2.35221,2000,09,04,    7.81,   19.46
48.85661,2.35221,2000,09,05,    7.92,   20.47
48.85661,2.35221,2000,09,06,   12.50,   18.95
48.85661,2.35221,2000,09,07,    9.57,   20.02
48.85661,2.35221,2000,09,08,   12.90,   22.85
48.85661,2.35221,2000,09,09,   14.45,   24.38
48.85661,2.35221,2000,09,10,   12.31,   26.19
48.85661,2.35221,2000,09,11,   12.40,   27.54
48.85661,2.35221,2000,09,12,   13.72,   21.32
48.85661,2.35221,2000,09,13,   11.23,   22.24
48.85661,2.35221,2000,09,14,   12.72,   22.92
48.85661,2.35221,2000,09,15,   11.55,   24.32
48.85661,2.35221,2000,09,16,   11.49,   19.62
48.85661,2.35221,2000,09,17,   10.27,   18.74
48.85661,2.35221,2000,09,18,    9.57,   21.05
48.85661,2.35221,2000,09,19,   10.34,   18.81
48.85661,2.35221,2000,09,20,    8.30,   18.42
48.85661,2.35221,2000,09,21,    7.20,   19.75
48.85661,2.35221,2000,09,22,   13.02,   23.02
48.85661,2.35221,2000,09,23,   10.85,   22.89
48.85661,2.35221,2000,09,24,   10.50,   22.09
48.85661,2.35221,2000,09,25,    9.45,   20.91
48.85661,2.35221,2000,09,26,    9.66,   24.92
48.85661,2.35221,2000,09,27,   11.32,   19.83
48.85661,2.35221,2000,09,28,   13.63,   17.14
48.85661,2.35221,2000,09,29,   11.75,   16.83
48.85661,2.35221,2000,09,30,    9.10,   17.70
48.85661,2.35221,2000,10,01,    7.47,   18.25
48.85661,2.35221,2000,10,02,   10.26,   15.10
