-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  48.8566   Longitude 2.3522 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 108.75 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
48.85661,2.35221,1983,01,01,    1.25,   -3.48
48.85661,2.35221,1983,01,02,    3.57,    1.52
48.85661,2.35221,1983,01,03,   11.34,    2.64
48.85661,2.35221,1983,01,04,   11.09,    7.92
48.85661,2.35221,1983,01,05,   13.45,    9.58
48.85661,2.35221,1983,01,06,    9.37,    6.14
48.85661,2.35221,1983,01,07,    7.22,    2.42
48.85661,2.35221,1983,01,08,    7.29,   -0.46
48.85661,2.35221,1983,01,09,    6.38,    0.03
48.85661,2.35221,1983,01,10,    6.35,    4.33
48.85661,2.35221,1983,01,11,    6.43,    1.10
48.85661,2.35221,1983,01,12,    6.38,    0.66
48.85661,2.35221,1983,01,13,    5.10,    0.97
48.85661,2.35221,1983,01,14,    6.85,   -1.13
48.85661,2.35221,1983,01,15,    9.36,    3.43
48.85661,2.35221,1983,01,16,   10.48,    5.99
48.85661,2.35221,1983,01,17,    7.34,    5.49
48.85661,2.35221,1983,01,18,    7.98,    1.59
48.85661,2.35221,1983,01,19,    4.77,   -2.63
48.85661,2.35221,1983,01,20,    4.26,   -3.06
48.85661,2.35221,1983,01,21,    5.91,   -1.23
48.85661,2.35221,1983,01,22,    5.84,   -2.84
48.85661,2.35221,1983,01,23,    3.37,   -2.70
48.85661,2.35221,1983,01,24,    6.53,   -2.02
48.85661,2.35221,1983,01,25,   10.25,    1.25
48.85661,2.35221,1983,01,26,   11.70,    5.34
48.85661,2.35221,1983,01,27,   12.55,    5.98
48.85661,2.35221,1983,01,28,   10.13,    7.18
48.85661,2.35221,1983,01,29,    9.48,    6.62
48.85661,2.35221,1983,01,30,    8.77,    2.66
48.85661,2.35221,1983,01,31,    8.56,    1.46
48.85661,2.35221,1983,02,01,    9.09,    3.12
48.85661,2.35221,1983,02,02,    6.84,    1.83
48.85661,2.35221,1983,02,03,    7.12,    1.23
48.85661,2.35221,1983,02,04,    4.53,   -1.66
48.85661,2.35221,1983,02,05,    6.05,   -0.56
48.85661,2.35221,1983,02,06,    5.39,    1.76
48.85661,2.35221,1983,02,07,    3.74,   -1.00
48.85661,2.35221,1983,02,08,    2.22,   -3.09
48.85661,2.35221,1983,02,09,   -0.36,   -4.00
48.85661,2.35221,1983,02,10,    0.88,   -4.65
48.85661,2.35221,1983,02,11,   -0.09,   -3.50
48.85661,2.35221,1983,02,12,    0.29,   -4.12
48.85661,2.35221,1983,02,13,    0.97,   -6.25
48.85661,2.35221,1983,02,14,    0.25,   -5.78
48.85661,2.35221,1983,02,15,    2.75,   -3.77
48.85661,2.35221,1983,02,16,    1.40,   -6.72
48.85661,2.35221,1983,02,17,    1.56,   -8.66
48.85661,2.35221,1983,02,18,    3.53,   -6.84
48.85661,2.35221,1983,02,19,    5.31,   -4.20
48.85661,2.35221,1983,02,20,    3.66,   -3.16
48.85661,2.35221,1983,02,21,    3.34,   -2.87
48.85661,2.35221,1983,02,22,    3.21,   -7.00
48.85661,2.35221,1983,02,23,    6.97,   -5.72
48.85661,2.35221,1983,02,24,    6.01,    0.92
48.85661,2.35221,1983,02,25,   10.46,    1.53
48.85661,2.35221,1983,02,26,   12.40,    6.80
48.85661,2.35221,1983,02,27,    9.04,    4.10
48.85661,2.35221,1983,02,28,    8.35,    2.59
48.85661,2.35221,1983,03,01,    7.15,    1.23
48.85661,2.35221,1983,03,02,    8.15,   -1.11
48.85661,2.35221,1983,03,03,    9.40,   -2.96
48.85661,2.35221,1983,03,04,   12.63,   -0.57
48.85661,2.35221,1983,03,05,   10.13,    0.93
48.85661,2.35221,1983,03,06,   10.15,    2.69
48.85661,2.35221,1983,03,07,   11.47,    3.34
48.85661,2.35221,1983,03,08,   13.47,    4.42
48.85661,2.35221,1983,03,09,   15.52,    4.31
48.85661,2.35221,1983,03,10,   10.35,    3.70
48.85661,2.35221,1983,03,11,    9.54,    1.69
48.85661,2.35221,1983,03,12,   12.48,    2.42
48.85661,2.35221,1983,03,13,   15.33,    1.61
48.85661,2.35221,1983,03,14,   12.84,    6.67
48.85661,2.35221,1983,03,15,    8.76,    2.42
48.85661,2.35221,1983,03,16,   11.29,    1.89
48.85661,2.35221,1983,03,17,   13.36,    4.62
48.85661,2.35221,1983,03,18,   13.89,    8.24
48.85661,2.35221,1983,03,19,   13.93,    7.50
48.85661,2.35221,1983,03,20,   11.88,    6.29
48.85661,2.35221,1983,03,21,   11.13,    4.24
48.85661,2.35221,1983,03,22,    8.63,    3.23
48.85661,2.35221,1983,03,23,   13.30,    3.74
48.85661,2.35221,1983,03,24,    8.04,    1.98
48.85661,2.35221,1983,03,25,    7.13,   -1.22
48.85661,2.35221,1983,03,26,    6.46,   -0.02
48.85661,2.35221,1983,03,27,    7.00,   -0.12
48.85661,2.35221,1983,03,28,    7.96,   -0.18
48.85661,2.35221,1983,03,29,    9.95,   -1.12
48.85661,2.35221,1983,03,30,   11.59,    3.94
48.85661,2.35221,1983,03,31,    8.93,    4.65
48.85661,2.35221,1983,04,01,    8.38,    2.43
48.85661,2.35221,1983,04,02,   10.23,    1.14
48.85661,2.35221,1983,04,03,    6.33,    0.16
48.85661,2.35221,1983,04,04,    6.51,   -0.58
48.85661,2.35221,1983,04,05,    8.46,    2.80
48.85661,2.35221,1983,04,06,    9.15,    3.97
48.85661,2.35221,1983,04,07,    9.97,    3.69
48.85661,2.35221,1983,04,08,   12.16,    5.66
48.85661,2.35221,1983,04,09,    9.87,    5.40
48.85661,2.35221,1983,04,10,   15.73,    8.57
48.85661,2.35221,1983,04,11,   10.73,    3.83
48.85661,2.35221,1983,04,12,    7.04,    0.79
48.85661,2.35221,1983,04,13,    9.42,   -1.02
48.85661,2.35221,1983,04,14,   10.77,   -0.67
48.85661,2.35221,1983,04,15,   15.44,    1.53
48.85661,2.35221,1983,04,16,   17.24,    2.09
48.85661,2.35221,1983,04,17,   16.10,    9.09
48.85661,2.35221,1983,04,18,   16.02,    5.16
48.85661,2.35221,1983,04,19,   12.41,    4.01
48.85661,2.35221,1983,04,20,   18.46,    3.14
48.85661,2.35221,1983,04,21,    9.57,    4.12
48.85661,2.35221,1983,04,22,   16.46,    3.31
48.85661,2.35221,1983,04,23,   12.86,    6.10
48.85661,2.35221,1983,04,24,   15.59,    4.92
48.85661,2.35221,1983,04,25,   13.83,    5.77
48.85661,2.35221,1983,04,26,   13.97,    4.37
48.85661,2.35221,1983,04,27,   13.80,    5.69
48.85661,2.35221,1983,04,28,   15.03,    5.43
48.85661,2.35221,1983,04,29,   15.86,    5.27
48.85661,2.35221,1983,04,30,   14.59,    6.66
48.85661,2.35221,1983,05,01,   13.33,    6.77
48.85661,2.35221,1983,05,02,   12.46,    6.42
48.85661,2.35221,1983,05,03,   13.51,    5.45
48.85661,2.35221,1983,05,04,   16.05,    8.11
48.85661,2.35221,1983,05,05,   18.89,    6.75
48.85661,2.35221,1983,05,06,   18.55,   10.91
48.85661,2.35221,1983,05,07,   13.81,    7.38
48.85661,2.35221,1983,05,08,   14.23,    6.49
48.85661,2.35221,1983,05,09,   15.56,    4.96
48.85661,2.35221,1983,05,10,   10.09,    4.71
48.85661,2.35221,1983,05,11,   13.12,    5.83
48.85661,2.35221,1983,05,12,   14.07,    7.00
48.85661,2.35221,1983,05,13,   14.72,    6.62
48.85661,2.35221,1983,05,14,   15.18,    6.03
48.85661,2.35221,1983,05,15,   15.44,    8.22
48.85661,2.35221,1983,05,16,   17.17,    7.33
48.85661,2.35221,1983,05,17,   14.40,    6.97
48.85661,2.35221,1983,05,18,   13.69,    6.24
48.85661,2.35221,1983,05,19,   14.57,    7.40
48.85661,2.35221,1983,05,20,   12.86,    7.30
48.85661,2.35221,1983,05,21,   12.41,    6.73
48.85661,2.35221,1983,05,22,   14.95,    5.84
48.85661,2.35221,1983,05,23,   14.91,    5.32
48.85661,2.35221,1983,05,24,   13.97,    7.11
48.85661,2.35221,1983,05,25,   15.14,    6.82
48.85661,2.35221,1983,05,26,   15.33,    5.50
48.85661,2.35221,1983,05,27,   14.39,    4.44
48.85661,2.35221,1983,05,28,   15.57,    8.37
48.85661,2.35221,1983,05,29,   15.38,    6.93
48.85661,2.35221,1983,05,30,   18.94,    7.02
48.85661,2.35221,1983,05,31,   20.65,   10.69
48.85661,2.35221,1983,06,01,   20.42,   12.50
48.85661,2.35221,1983,06,02,   18.19,    9.66
48.85661,2.35221,1983,06,03,   24.09,   11.28
48.85661,2.35221,1983,06,04,   26.89,   15.03
48.85661,2.35221,1983,06,05,   24.63,   16.21
48.85661,2.35221,1983,06,06,   24.77,   16.59
48.85661,2.35221,1983,06,07,   26.42,   14.50
48.85661,2.35221,1983,06,08,   25.54,   15.28
48.85661,2.35221,1983,06,09,   22.52,   11.91
48.85661,2.35221,1983,06,10,   20.39,   10.16
48.85661,2.35221,1983,06,11,   21.84,   11.14
48.85661,2.35221,1983,06,12,   23.32,   12.36
48.85661,2.35221,1983,06,13,   19.36,    9.28
48.85661,2.35221,1983,06,14,   19.35,    8.19
48.85661,2.35221,1983,06,15,   17.44,    7.63
48.85661,2.35221,1983,06,16,   17.42,    6.70
48.85661,2.35221,1983,06,17,   16.74,    6.83
48.85661,2.35221,1983,06,18,   15.88,    6.23
48.85661,2.35221,1983,06,19,   21.28,    9.81
48.85661,2.35221,1983,06,20,   23.32,   11.62
48.85661,2.35221,1983,06,21,   21.80,   14.34
48.85661,2.35221,1983,06,22,   23.49,   14.85
48.85661,2.35221,1983,06,23,   24.95,   13.60
48.85661,2.35221,1983,06,24,   22.78,   15.73
48.85661,2.35221,1983,06,25,   20.26,   15.11
48.85661,2.35221,1983,06,26,   21.66,   14.56
48.85661,2.35221,1983,06,27,   21.02,   11.14
48.85661,2.35221,1983,06,28,   18.97,    9.40
48.85661,2.35221,1983,06,29,   19.16,    8.50
48.85661,2.35221,1983,06,30,   16.63,   11.14
48.85661,2.35221,1983,07,01,   19.68,    8.49
48.85661,2.35221,1983,07,02,   22.46,   10.19
48.85661,2.35221,1983,07,03,   23.61,   12.07
48.85661,2.35221,1983,07,04,   23.85,   14.05
48.85661,2.35221,1983,07,05,   24.42,   15.86
48.85661,2.35221,1983,07,06,   22.98,   16.17
48.85661,2.35221,1983,07,07,   24.84,   15.75
48.85661,2.35221,1983,07,08,   26.27,   15.23
48.85661,2.35221,1983,07,09,   27.75,   17.31
48.85661,2.35221,1983,07,10,   28.32,   19.45
48.85661,2.35221,1983,07,11,   29.95,   19.68
48.85661,2.35221,1983,07,12,   29.45,   18.40
48.85661,2.35221,1983,07,13,   26.00,   16.03
48.85661,2.35221,1983,07,14,   24.00,   14.08
48.85661,2.35221,1983,07,15,   26.71,   13.32
48.85661,2.35221,1983,07,16,   28.63,   15.91
48.85661,2.35221,1983,07,17,   25.43,   18.84
48.85661,2.35221,1983,07,18,   26.13,   17.97
48.85661,2.35221,1983,07,19,   26.79,   17.23
48.85661,2.35221,1983,07,20,   25.42,   14.96
48.85661,2.35221,1983,07,21,   23.26,   11.98
48.85661,2.35221,1983,07,22,   28.38,   13.77
48.85661,2.35221,1983,07,23,   25.10,   17.62
48.85661,2.35221,1983,07,24,   23.54,   15.11
48.85661,2.35221,1983,07,25,   24.78,   15.40
48.85661,2.35221,1983,07,26,   26.04,   18.61
48.85661,2.35221,1983,07,27,   24.57,   19.38
48.85661,2.35221,1983,07,28,   26.07,   17.91
48.85661,2.35221,1983,07,29,   22.68,   14.43
48.85661,2.35221,1983,07,30,   28.07,   16.22
48.85661,2.35221,1983,07,31,   29.77,   19.05
48.85661,2.35221,1983,08,01,   21.32,   11.79
48.85661,2.35221,1983,08,02,   18.37,    9.74
48.85661,2.35221,1983,08,03,   19.55,    8.69
48.85661,2.35221,1983,08,04,   21.32,    8.74
48.85661,2.35221,1983,08,05,   22.40,   11.55
48.85661,2.35221,1983,08,06,   20.37,   10.21
48.85661,2.35221,1983,08,07,   20.37,   10.18
48.85661,2.35221,1983,08,08,   24.49,   12.63
48.85661,2.35221,1983,08,09,   24.51,   14.81
48.85661,2.35221,1983,08,10,   24.37,   17.53
48.85661,2.35221,1983,08,11,   25.30,   15.61
48.85661,2.35221,1983,08,12,   23.79,   12.11
48.85661,2.35221,1983,08,13,   20.71,   11.98
48.85661,2.35221,1983,08,14,   21.31,    9.75
48.85661,2.35221,1983,08,15,   23.99,   10.44
48.85661,2.35221,1983,08,16,   24.31,   14.81
48.85661,2.35221,1983,08,17,   23.29,   11.98
48.85661,2.35221,1983,08,18,   25.96,   11.96
48.85661,2.35221,1983,08,19,   27.37,   15.36
48.85661,2.35221,1983,08,20,   23.31,   15.61
48.85661,2.35221,1983,08,21,   22.38,   14.36
48.85661,2.35221,1983,08,22,   23.18,   13.99
48.85661,2.35221,1983,08,23,   24.51,   16.47
48.85661,2.35221,1983,08,24,   23.39,   15.61
48.85661,2.35221,1983,08,25,   24.83,   15.95
48.85661,2.35221,1983,08,26,   26.01,   15.86
48.85661,2.35221,1983,08,27,   25.74,   15.67
