-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 05/07/2021 
Location: Latitude  37.9838   Longitude 23.7275 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 74.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
37.98381,23.72751,2000,01,01,    8.34,   10.77
37.98381,23.72751,2000,01,02,    7.51,    9.31
37.98381,23.72751,2000,01,03,    5.59,    7.73
37.98381,23.72751,2000,01,04,    5.46,    9.04
37.98381,23.72751,2000,01,05,    6.24,   10.08
37.98381,23.72751,2000,01,06,    7.29,   10.89
37.98381,23.72751,2000,01,07,    7.12,    9.43
37.98381,23.72751,2000,01,08,    6.95,    9.53
37.98381,23.72751,2000,01,09,    7.50,   10.38
37.98381,23.72751,2000,01,10,    7.31,   10.78
37.98381,23.72751,2000,01,11,    7.86,   10.24
37.98381,23.72751,2000,01,12,    7.17,    9.29
37.98381,23.72751,2000,01,13,    6.97,    9.38
37.98381,23.72751,2000,01,14,    7.06,    9.35
37.98381,23.72751,2000,01,15,    7.45,   10.91
37.98381,23.72751,2000,01,16,    7.29,   10.92
37.98381,23.72751,2000,01,17,    7.64,    9.16
37.98381,23.72751,2000,01,18,    7.55,   13.43
37.98381,23.72751,2000,01,19,    6.64,   10.64
37.98381,23.72751,2000,01,20,    4.17,    6.64
37.98381,23.72751,2000,01,21,    3.68,    8.98
37.98381,23.72751,2000,01,22,    6.21,    9.93
37.98381,23.72751,2000,01,23,    6.24,   12.89
37.98381,23.72751,2000,01,24,    9.19,   13.75
37.98381,23.72751,2000,01,25,    4.84,    8.81
37.98381,23.72751,2000,01,26,    3.26,    6.17
37.98381,23.72751,2000,01,27,    3.18,    7.91
37.98381,23.72751,2000,01,28,    6.21,   11.24
37.98381,23.72751,2000,01,29,    7.62,   12.43
37.98381,23.72751,2000,01,30,    9.61,   13.48
37.98381,23.72751,2000,01,31,    8.67,   15.40
37.98381,23.72751,2000,02,01,    9.61,   16.75
37.98381,23.72751,2000,02,02,   11.28,   15.23
37.98381,23.72751,2000,02,03,    9.65,   15.28
37.98381,23.72751,2000,02,04,    8.42,   11.85
37.98381,23.72751,2000,02,05,    6.87,   10.24
37.98381,23.72751,2000,02,06,    8.30,   14.87
37.98381,23.72751,2000,02,07,   10.26,   14.65
37.98381,23.72751,2000,02,08,   10.19,   14.65
37.98381,23.72751,2000,02,09,   11.28,   15.06
37.98381,23.72751,2000,02,10,   11.32,   15.07
37.98381,23.72751,2000,02,11,   11.76,   13.97
37.98381,23.72751,2000,02,12,   10.52,   14.49
37.98381,23.72751,2000,02,13,    9.69,   12.18
37.98381,23.72751,2000,02,14,    9.40,   12.39
37.98381,23.72751,2000,02,15,    7.12,   11.65
37.98381,23.72751,2000,02,16,    6.96,   10.57
37.98381,23.72751,2000,02,17,   10.04,   15.23
37.98381,23.72751,2000,02,18,    8.05,   13.07
37.98381,23.72751,2000,02,19,    6.86,   13.94
37.98381,23.72751,2000,02,20,   11.75,   16.07
37.98381,23.72751,2000,02,21,    8.01,   13.11
37.98381,23.72751,2000,02,22,    6.76,    8.67
37.98381,23.72751,2000,02,23,    6.02,    8.20
37.98381,23.72751,2000,02,24,    6.27,    8.97
37.98381,23.72751,2000,02,25,    6.05,    9.84
37.98381,23.72751,2000,02,26,    7.58,   13.42
37.98381,23.72751,2000,02,27,    8.88,   11.95
37.98381,23.72751,2000,02,28,    7.38,   10.53
37.98381,23.72751,2000,02,29,    6.21,    8.66
37.98381,23.72751,2000,03,01,    6.19,   11.46
37.98381,23.72751,2000,03,02,    8.43,   15.62
