-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  37.9838   Longitude 23.7275 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 74.19 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
37.98381,23.72751,1983,01,01,    6.63,    3.77
37.98381,23.72751,1983,01,02,    8.69,    3.93
37.98381,23.72751,1983,01,03,   10.57,    7.73
37.98381,23.72751,1983,01,04,   12.12,    6.78
37.98381,23.72751,1983,01,05,   14.02,   10.01
37.98381,23.72751,1983,01,06,   12.40,    8.68
37.98381,23.72751,1983,01,07,   11.63,    7.60
37.98381,23.72751,1983,01,08,   11.92,    7.59
37.98381,23.72751,1983,01,09,   11.50,    8.04
37.98381,23.72751,1983,01,10,   11.63,    7.47
37.98381,23.72751,1983,01,11,   11.96,    7.44
37.98381,23.72751,1983,01,12,   11.47,    7.34
37.98381,23.72751,1983,01,13,   12.05,    7.76
37.98381,23.72751,1983,01,14,   13.97,    7.79
37.98381,23.72751,1983,01,15,   14.60,    9.06
37.98381,23.72751,1983,01,16,   13.16,    9.03
37.98381,23.72751,1983,01,17,   12.42,    7.83
37.98381,23.72751,1983,01,18,   14.70,    8.54
37.98381,23.72751,1983,01,19,   15.77,    8.75
37.98381,23.72751,1983,01,20,   16.01,   12.30
37.98381,23.72751,1983,01,21,   12.27,    5.11
37.98381,23.72751,1983,01,22,    7.82,    4.01
37.98381,23.72751,1983,01,23,   11.40,    6.40
37.98381,23.72751,1983,01,24,   11.74,    6.80
37.98381,23.72751,1983,01,25,    9.36,    5.52
37.98381,23.72751,1983,01,26,    9.03,    5.17
37.98381,23.72751,1983,01,27,   12.46,    6.57
37.98381,23.72751,1983,01,28,   12.67,    7.65
37.98381,23.72751,1983,01,29,   13.60,    8.56
37.98381,23.72751,1983,01,30,   13.85,    9.59
37.98381,23.72751,1983,01,31,   15.23,   10.99
37.98381,23.72751,1983,02,01,   10.17,    7.46
37.98381,23.72751,1983,02,02,   12.56,    8.36
37.98381,23.72751,1983,02,03,   14.58,    5.82
37.98381,23.72751,1983,02,04,    9.45,    5.26
37.98381,23.72751,1983,02,05,    8.40,    3.81
37.98381,23.72751,1983,02,06,    9.34,    3.85
37.98381,23.72751,1983,02,07,   13.77,    8.31
37.98381,23.72751,1983,02,08,   14.53,   11.84
37.98381,23.72751,1983,02,09,   15.01,   10.96
37.98381,23.72751,1983,02,10,   14.69,   10.97
37.98381,23.72751,1983,02,11,   14.86,   13.05
37.98381,23.72751,1983,02,12,   14.07,    9.91
37.98381,23.72751,1983,02,13,   14.42,    9.80
37.98381,23.72751,1983,02,14,   14.00,   10.33
37.98381,23.72751,1983,02,15,   14.69,    9.99
37.98381,23.72751,1983,02,16,   13.39,    8.84
37.98381,23.72751,1983,02,17,    8.57,    3.50
37.98381,23.72751,1983,02,18,    3.46,    2.17
37.98381,23.72751,1983,02,19,    2.53,    1.40
37.98381,23.72751,1983,02,20,    5.42,    0.92
37.98381,23.72751,1983,02,21,    9.91,    4.40
37.98381,23.72751,1983,02,22,   12.30,    8.40
37.98381,23.72751,1983,02,23,    9.19,    3.17
37.98381,23.72751,1983,02,24,    4.31,    2.79
37.98381,23.72751,1983,02,25,    6.42,    2.81
37.98381,23.72751,1983,02,26,    8.75,    3.02
37.98381,23.72751,1983,02,27,   11.61,    6.59
37.98381,23.72751,1983,02,28,   12.99,    8.60
37.98381,23.72751,1983,03,01,   14.06,    8.42
37.98381,23.72751,1983,03,02,   13.03,    9.67
37.98381,23.72751,1983,03,03,    9.59,    4.69
37.98381,23.72751,1983,03,04,    6.35,    3.69
37.98381,23.72751,1983,03,05,    7.50,    4.41
37.98381,23.72751,1983,03,06,   11.94,    5.55
37.98381,23.72751,1983,03,07,   14.24,    7.96
37.98381,23.72751,1983,03,08,   15.90,    9.01
37.98381,23.72751,1983,03,09,   16.31,    9.64
37.98381,23.72751,1983,03,10,   15.51,    9.74
37.98381,23.72751,1983,03,11,   15.26,    9.55
37.98381,23.72751,1983,03,12,   16.09,    8.06
37.98381,23.72751,1983,03,13,    7.91,    4.83
37.98381,23.72751,1983,03,14,    6.90,    4.13
37.98381,23.72751,1983,03,15,    8.56,    5.10
37.98381,23.72751,1983,03,16,   11.61,    6.11
37.98381,23.72751,1983,03,17,   10.50,    7.07
37.98381,23.72751,1983,03,18,   12.68,    8.08
37.98381,23.72751,1983,03,19,   13.61,    9.04
37.98381,23.72751,1983,03,20,   15.50,    8.73
37.98381,23.72751,1983,03,21,   15.46,    9.42
37.98381,23.72751,1983,03,22,   16.82,   10.35
37.98381,23.72751,1983,03,23,   16.74,    9.47
37.98381,23.72751,1983,03,24,   16.55,   11.79
37.98381,23.72751,1983,03,25,   16.71,   12.26
37.98381,23.72751,1983,03,26,   17.11,   12.87
37.98381,23.72751,1983,03,27,   16.02,   11.81
37.98381,23.72751,1983,03,28,   15.30,   10.56
37.98381,23.72751,1983,03,29,   15.43,   11.36
37.98381,23.72751,1983,03,30,   15.43,    9.76
37.98381,23.72751,1983,03,31,   15.58,   10.76
37.98381,23.72751,1983,04,01,   15.52,   12.41
37.98381,23.72751,1983,04,02,   17.26,   12.01
37.98381,23.72751,1983,04,03,   16.57,   11.13
37.98381,23.72751,1983,04,04,   16.61,   12.51
37.98381,23.72751,1983,04,05,   17.13,   12.25
37.98381,23.72751,1983,04,06,   14.80,   10.00
37.98381,23.72751,1983,04,07,   17.84,   10.17
37.98381,23.72751,1983,04,08,   18.83,   11.77
37.98381,23.72751,1983,04,09,   19.01,   12.44
37.98381,23.72751,1983,04,10,   21.29,   13.00
37.98381,23.72751,1983,04,11,   21.55,   14.12
37.98381,23.72751,1983,04,12,   19.50,   14.59
37.98381,23.72751,1983,04,13,   19.24,   14.05
37.98381,23.72751,1983,04,14,   16.69,   12.21
37.98381,23.72751,1983,04,15,   14.21,   10.29
37.98381,23.72751,1983,04,16,   10.96,    9.55
37.98381,23.72751,1983,04,17,   13.43,    9.50
37.98381,23.72751,1983,04,18,   14.99,    9.75
37.98381,23.72751,1983,04,19,   15.91,   11.35
37.98381,23.72751,1983,04,20,   18.02,   11.64
37.98381,23.72751,1983,04,21,   19.01,   12.99
37.98381,23.72751,1983,04,22,   19.42,   14.33
37.98381,23.72751,1983,04,23,   21.07,   14.58
37.98381,23.72751,1983,04,24,   20.00,   15.00
37.98381,23.72751,1983,04,25,   21.57,   14.38
37.98381,23.72751,1983,04,26,   21.98,   14.77
37.98381,23.72751,1983,04,27,   22.53,   16.70
37.98381,23.72751,1983,04,28,   21.41,   16.31
37.98381,23.72751,1983,04,29,   22.36,   17.26
37.98381,23.72751,1983,04,30,   24.01,   16.46
37.98381,23.72751,1983,05,01,   24.54,   17.84
37.98381,23.72751,1983,05,02,   24.23,   18.41
37.98381,23.72751,1983,05,03,   24.70,   16.26
37.98381,23.72751,1983,05,04,   22.65,   15.42
37.98381,23.72751,1983,05,05,   20.96,   15.89
37.98381,23.72751,1983,05,06,   21.30,   15.49
37.98381,23.72751,1983,05,07,   21.45,   16.40
37.98381,23.72751,1983,05,08,   20.23,   14.88
37.98381,23.72751,1983,05,09,   17.60,   15.69
37.98381,23.72751,1983,05,10,   19.47,   16.01
37.98381,23.72751,1983,05,11,   21.37,   14.32
37.98381,23.72751,1983,05,12,   20.29,   15.35
37.98381,23.72751,1983,05,13,   22.79,   16.02
37.98381,23.72751,1983,05,14,   23.21,   16.53
37.98381,23.72751,1983,05,15,   22.55,   17.04
37.98381,23.72751,1983,05,16,   22.18,   16.60
37.98381,23.72751,1983,05,17,   22.73,   17.06
37.98381,23.72751,1983,05,18,   25.01,   17.81
37.98381,23.72751,1983,05,19,   21.77,   17.67
37.98381,23.72751,1983,05,20,   22.44,   17.60
37.98381,23.72751,1983,05,21,   26.09,   17.95
37.98381,23.72751,1983,05,22,   25.81,   19.09
37.98381,23.72751,1983,05,23,   22.69,   18.59
37.98381,23.72751,1983,05,24,   24.93,   18.38
37.98381,23.72751,1983,05,25,   24.08,   17.02
37.98381,23.72751,1983,05,26,   23.63,   17.54
37.98381,23.72751,1983,05,27,   23.42,   17.35
37.98381,23.72751,1983,05,28,   24.84,   17.77
37.98381,23.72751,1983,05,29,   22.95,   18.27
37.98381,23.72751,1983,05,30,   24.76,   17.85
37.98381,23.72751,1983,05,31,   23.06,   18.31
37.98381,23.72751,1983,06,01,   25.35,   18.30
37.98381,23.72751,1983,06,02,   25.42,   19.37
37.98381,23.72751,1983,06,03,   24.59,   19.86
37.98381,23.72751,1983,06,04,   24.25,   19.64
37.98381,23.72751,1983,06,05,   24.45,   19.73
37.98381,23.72751,1983,06,06,   26.14,   19.69
37.98381,23.72751,1983,06,07,   27.57,   19.87
37.98381,23.72751,1983,06,08,   20.95,   16.55
37.98381,23.72751,1983,06,09,   20.26,   16.23
37.98381,23.72751,1983,06,10,   21.41,   16.51
37.98381,23.72751,1983,06,11,   25.02,   16.83
37.98381,23.72751,1983,06,12,   26.26,   18.96
37.98381,23.72751,1983,06,13,   21.78,   19.11
37.98381,23.72751,1983,06,14,   24.24,   18.94
37.98381,23.72751,1983,06,15,   24.37,   19.41
37.98381,23.72751,1983,06,16,   24.23,   18.88
37.98381,23.72751,1983,06,17,   24.01,   18.70
37.98381,23.72751,1983,06,18,   23.75,   17.62
37.98381,23.72751,1983,06,19,   25.67,   18.51
37.98381,23.72751,1983,06,20,   26.02,   19.50
37.98381,23.72751,1983,06,21,   27.10,   19.64
37.98381,23.72751,1983,06,22,   26.68,   20.90
37.98381,23.72751,1983,06,23,   26.38,   20.81
37.98381,23.72751,1983,06,24,   25.49,   19.63
37.98381,23.72751,1983,06,25,   24.37,   18.70
37.98381,23.72751,1983,06,26,   26.20,   19.13
37.98381,23.72751,1983,06,27,   28.31,   19.88
37.98381,23.72751,1983,06,28,   28.41,   21.42
37.98381,23.72751,1983,06,29,   26.12,   21.23
37.98381,23.72751,1983,06,30,   26.07,   20.37
37.98381,23.72751,1983,07,01,   27.26,   21.61
37.98381,23.72751,1983,07,02,   26.83,   21.78
37.98381,23.72751,1983,07,03,   23.97,   21.51
37.98381,23.72751,1983,07,04,   25.55,   20.56
37.98381,23.72751,1983,07,05,   28.26,   21.38
37.98381,23.72751,1983,07,06,   27.26,   22.31
37.98381,23.72751,1983,07,07,   29.14,   21.89
37.98381,23.72751,1983,07,08,   29.10,   23.09
37.98381,23.72751,1983,07,09,   27.43,   22.65
37.98381,23.72751,1983,07,10,   26.48,   22.22
37.98381,23.72751,1983,07,11,   27.65,   21.51
37.98381,23.72751,1983,07,12,   28.53,   22.00
37.98381,23.72751,1983,07,13,   28.42,   22.77
37.98381,23.72751,1983,07,14,   28.69,   22.74
37.98381,23.72751,1983,07,15,   29.02,   23.29
37.98381,23.72751,1983,07,16,   30.06,   22.85
37.98381,23.72751,1983,07,17,   28.73,   22.93
37.98381,23.72751,1983,07,18,   28.75,   24.10
37.98381,23.72751,1983,07,19,   29.15,   24.32
37.98381,23.72751,1983,07,20,   29.06,   23.83
37.98381,23.72751,1983,07,21,   33.43,   23.52
37.98381,23.72751,1983,07,22,   26.50,   20.73
37.98381,23.72751,1983,07,23,   28.38,   20.36
37.98381,23.72751,1983,07,24,   31.29,   22.37
37.98381,23.72751,1983,07,25,   32.37,   24.33
37.98381,23.72751,1983,07,26,   29.47,   23.47
37.98381,23.72751,1983,07,27,   29.20,   22.31
37.98381,23.72751,1983,07,28,   30.62,   23.82
37.98381,23.72751,1983,07,29,   31.29,   24.53
37.98381,23.72751,1983,07,30,   27.81,   22.67
37.98381,23.72751,1983,07,31,   27.56,   22.69
37.98381,23.72751,1983,08,01,   29.74,   23.16
37.98381,23.72751,1983,08,02,   30.04,   23.08
37.98381,23.72751,1983,08,03,   31.70,   23.28
37.98381,23.72751,1983,08,04,   33.02,   24.84
37.98381,23.72751,1983,08,05,   29.96,   23.82
37.98381,23.72751,1983,08,06,   27.95,   23.25
37.98381,23.72751,1983,08,07,   28.52,   23.62
37.98381,23.72751,1983,08,08,   28.46,   23.54
37.98381,23.72751,1983,08,09,   28.32,   23.20
37.98381,23.72751,1983,08,10,   28.93,   22.61
37.98381,23.72751,1983,08,11,   30.35,   23.21
37.98381,23.72751,1983,08,12,   29.40,   23.06
37.98381,23.72751,1983,08,13,   28.98,   23.75
37.98381,23.72751,1983,08,14,   29.65,   23.56
37.98381,23.72751,1983,08,15,   25.59,   21.26
37.98381,23.72751,1983,08,16,   23.96,   21.01
37.98381,23.72751,1983,08,17,   25.76,   19.75
37.98381,23.72751,1983,08,18,   27.08,   20.27
37.98381,23.72751,1983,08,19,   27.31,   20.71
37.98381,23.72751,1983,08,20,   27.79,   21.60
37.98381,23.72751,1983,08,21,   27.56,   22.45
37.98381,23.72751,1983,08,22,   25.87,   21.62
37.98381,23.72751,1983,08,23,   26.37,   21.13
37.98381,23.72751,1983,08,24,   27.47,   21.05
37.98381,23.72751,1983,08,25,   27.63,   21.20
37.98381,23.72751,1983,08,26,   28.74,   22.52
37.98381,23.72751,1983,08,27,   29.00,   22.74
37.98381,23.72751,1983,08,28,   28.95,   23.00
37.98381,23.72751,1983,08,29,   28.25,   22.29
37.98381,23.72751,1983,08,30,   29.25,   22.29
37.98381,23.72751,1983,08,31,   25.63,   21.94
37.98381,23.72751,1983,09,01,   25.56,   21.26
37.98381,23.72751,1983,09,02,   25.90,   20.09
37.98381,23.72751,1983,09,03,   26.47,   20.07
37.98381,23.72751,1983,09,04,   27.99,   20.58
37.98381,23.72751,1983,09,05,   25.58,   22.06
37.98381,23.72751,1983,09,06,   25.18,   21.08
37.98381,23.72751,1983,09,07,   27.85,   20.47
37.98381,23.72751,1983,09,08,   27.56,   22.26
37.98381,23.72751,1983,09,09,   26.82,   20.89
37.98381,23.72751,1983,09,10,   27.65,   20.56
37.98381,23.72751,1983,09,11,   27.72,   21.46
37.98381,23.72751,1983,09,12,   28.57,   22.44
37.98381,23.72751,1983,09,13,   30.93,   22.13
37.98381,23.72751,1983,09,14,   27.89,   21.87
37.98381,23.72751,1983,09,15,   26.46,   20.75
37.98381,23.72751,1983,09,16,   26.94,   20.55
37.98381,23.72751,1983,09,17,   27.66,   20.22
37.98381,23.72751,1983,09,18,   28.50,   21.79
37.98381,23.72751,1983,09,19,   22.57,   19.79
37.98381,23.72751,1983,09,20,   22.82,   18.43
37.98381,23.72751,1983,09,21,   23.19,   18.82
37.98381,23.72751,1983,09,22,   24.04,   18.58
37.98381,23.72751,1983,09,23,   26.17,   19.63
37.98381,23.72751,1983,09,24,   25.57,   18.82
37.98381,23.72751,1983,09,25,   22.92,   17.42
37.98381,23.72751,1983,09,26,   22.44,   18.24
37.98381,23.72751,1983,09,27,   23.32,   18.19
37.98381,23.72751,1983,09,28,   23.76,   17.78
