-BEGIN HEADER-,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data ,,,,,,
Dates (month/day/year): 01/01/2000 through 05/07/2021 ,,,,,,
Location: Latitude  42.6977   Longitude 23.3219 ,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 818.61 meters   Site = na ,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) ,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999 ,,,,,,
Parameter(s): ,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) ,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) ,,,,,,
-END HEADER-,,,,,,
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
42.69771,23.32191,2000,1,1,-4.14,-13.01
42.69771,23.32191,2000,1,2,-5.25,-14.21
42.69771,23.32191,2000,1,3,-5.67,-13.77
42.69771,23.32191,2000,1,4,-1.79,-13.65
42.69771,23.32191,2000,1,5,-1.52,-10.73
42.69771,23.32191,2000,1,6,-1.64,-9.48
42.69771,23.32191,2000,1,7,-1.79,-10.47
42.69771,23.32191,2000,1,8,-0.66,-10.49
42.69771,23.32191,2000,1,9,-0.61,-10.88
42.69771,23.32191,2000,1,10,-0.7,-11.4
42.69771,23.32191,2000,1,11,-4.06,-11.71
42.69771,23.32191,2000,1,12,-2.74,-12.45
42.69771,23.32191,2000,1,13,-2.11,-12.28
42.69771,23.32191,2000,1,14,-2.36,-11.81
42.69771,23.32191,2000,1,15,-1.09,-11.42
42.69771,23.32191,2000,1,16,-3.15,-10.66
42.69771,23.32191,2000,1,17,-5.08,-11.36
42.69771,23.32191,2000,1,18,-0.49,-6.86
42.69771,23.32191,2000,1,19,-2.58,-8.64
42.69771,23.32191,2000,1,20,-5.47,-16.08
42.69771,23.32191,2000,1,21,-1.27,-15.95
42.69771,23.32191,2000,1,22,-3.62,-18.93
42.69771,23.32191,2000,1,23,-1.95,-18.61
42.69771,23.32191,2000,1,24,-2.05,-13.6
42.69771,23.32191,2000,1,25,-10.7,-19.69
42.69771,23.32191,2000,1,26,-9.94,-22.48
42.69771,23.32191,2000,1,27,-4.47,-17.77
42.69771,23.32191,2000,1,28,0.28,-10.42
42.69771,23.32191,2000,1,29,0.06,-11.68
42.69771,23.32191,2000,1,30,0.93,-9.77
42.69771,23.32191,2000,1,31,2.34,-1.51
42.69771,23.32191,2000,2,1,3.63,-2.06
42.69771,23.32191,2000,2,2,6.69,-2.5
42.69771,23.32191,2000,2,3,4.4,-1.8
42.69771,23.32191,2000,2,4,1.56,-5.26
42.69771,23.32191,2000,2,5,3.91,-8.31
