-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  42.6977   Longitude 23.3219 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 818.61 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
42.69771,23.32191,1983,01,01,   -2.54,  -10.81
42.69771,23.32191,1983,01,02,   -1.39,   -8.92
42.69771,23.32191,1983,01,03,    0.10,   -6.81
42.69771,23.32191,1983,01,04,    1.21,   -8.62
42.69771,23.32191,1983,01,05,    2.07,   -2.81
42.69771,23.32191,1983,01,06,    1.92,   -5.97
42.69771,23.32191,1983,01,07,    3.17,   -8.56
42.69771,23.32191,1983,01,08,    3.43,   -3.31
42.69771,23.32191,1983,01,09,    1.98,   -3.83
42.69771,23.32191,1983,01,10,    2.12,   -5.99
42.69771,23.32191,1983,01,11,    2.21,   -6.18
42.69771,23.32191,1983,01,12,    4.29,   -2.28
42.69771,23.32191,1983,01,13,    6.86,   -3.75
42.69771,23.32191,1983,01,14,    5.78,   -3.07
42.69771,23.32191,1983,01,15,    4.14,   -2.70
42.69771,23.32191,1983,01,16,    4.01,   -4.69
42.69771,23.32191,1983,01,17,   -0.04,   -3.01
42.69771,23.32191,1983,01,18,    4.78,   -0.36
42.69771,23.32191,1983,01,19,    6.98,   -3.77
42.69771,23.32191,1983,01,20,   -2.67,   -4.66
42.69771,23.32191,1983,01,21,   -4.46,  -13.62
42.69771,23.32191,1983,01,22,   -0.49,  -14.02
42.69771,23.32191,1983,01,23,    1.25,   -4.03
42.69771,23.32191,1983,01,24,    0.83,   -5.30
42.69771,23.32191,1983,01,25,    1.27,   -7.22
