-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 05/07/2021 
Location: Latitude  55.7522   Longitude 37.6156 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 172.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
55.75221,37.61561,2000,01,01,  -11.46,   -8.45
55.75221,37.61561,2000,01,02,  -13.21,   -9.48
55.75221,37.61561,2000,01,03,  -16.05,  -13.60
55.75221,37.61561,2000,01,04,  -15.67,   -5.65
55.75221,37.61561,2000,01,05,   -6.08,   -2.41
55.75221,37.61561,2000,01,06,   -9.25,   -4.35
55.75221,37.61561,2000,01,07,  -10.37,   -8.14
55.75221,37.61561,2000,01,08,  -10.18,   -6.80
55.75221,37.61561,2000,01,09,   -7.10,   -1.48
55.75221,37.61561,2000,01,10,   -5.92,   -2.58
55.75221,37.61561,2000,01,11,   -9.94,   -3.79
55.75221,37.61561,2000,01,12,   -7.28,   -3.35
55.75221,37.61561,2000,01,13,  -10.07,   -4.03
55.75221,37.61561,2000,01,14,  -11.97,   -8.70
55.75221,37.61561,2000,01,15,  -13.19,  -10.00
55.75221,37.61561,2000,01,16,  -13.28,   -9.95
55.75221,37.61561,2000,01,17,  -10.64,   -6.19
55.75221,37.61561,2000,01,18,   -9.03,   -6.79
55.75221,37.61561,2000,01,19,  -13.10,   -8.76
55.75221,37.61561,2000,01,20,  -15.07,  -11.90
55.75221,37.61561,2000,01,21,  -18.51,  -13.30
55.75221,37.61561,2000,01,22,  -19.78,  -15.60
