-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  55.7522   Longitude 37.6156 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 172.42 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
55.75221,37.61561,1983,01,01,  -15.98,  -26.57
55.75221,37.61561,1983,01,02,  -19.06,  -24.79
55.75221,37.61561,1983,01,03,  -14.98,  -23.18
55.75221,37.61561,1983,01,04,  -10.90,  -16.27
55.75221,37.61561,1983,01,05,   -8.91,  -14.62
55.75221,37.61561,1983,01,06,   -6.86,  -12.72
55.75221,37.61561,1983,01,07,    0.83,   -6.74
55.75221,37.61561,1983,01,08,    0.69,   -1.51
55.75221,37.61561,1983,01,09,   -0.74,   -3.64
55.75221,37.61561,1983,01,10,   -1.65,   -7.03
55.75221,37.61561,1983,01,11,   -2.47,   -8.46
55.75221,37.61561,1983,01,12,   -1.72,   -8.22
55.75221,37.61561,1983,01,13,    0.70,   -1.06
55.75221,37.61561,1983,01,14,   -0.18,   -1.38
55.75221,37.61561,1983,01,15,   -0.94,   -5.94
55.75221,37.61561,1983,01,16,   -0.71,   -9.75
55.75221,37.61561,1983,01,17,   -0.40,   -5.61
55.75221,37.61561,1983,01,18,   -5.29,  -10.25
55.75221,37.61561,1983,01,19,   -3.06,   -6.41
55.75221,37.61561,1983,01,20,   -7.01,  -10.59
55.75221,37.61561,1983,01,21,   -8.22,  -11.95
55.75221,37.61561,1983,01,22,   -2.83,   -7.65
55.75221,37.61561,1983,01,23,   -8.01,  -15.85
55.75221,37.61561,1983,01,24,  -13.03,  -20.01
55.75221,37.61561,1983,01,25,  -10.98,  -22.12
55.75221,37.61561,1983,01,26,    0.01,  -10.16
55.75221,37.61561,1983,01,27,    0.32,   -2.23
55.75221,37.61561,1983,01,28,    0.49,   -4.08
