-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 05/07/2021 
Location: Latitude  40.4168   Longitude -3.7038 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 697.71 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
40.41681,-3.70379,2000,01,01,   -2.08,    9.98
40.41681,-3.70379,2000,01,02,   -2.27,    9.92
40.41681,-3.70379,2000,01,03,   -3.41,    8.46
40.41681,-3.70379,2000,01,04,   -2.78,    7.53
40.41681,-3.70379,2000,01,05,   -3.25,    6.89
40.41681,-3.70379,2000,01,06,   -2.35,    8.33
40.41681,-3.70379,2000,01,07,   -2.60,   10.08
40.41681,-3.70379,2000,01,08,   -0.89,    8.60
40.41681,-3.70379,2000,01,09,   -1.47,    3.89
40.41681,-3.70379,2000,01,10,   -2.04,    7.70
40.41681,-3.70379,2000,01,11,   -2.44,    8.96
40.41681,-3.70379,2000,01,12,   -2.70,    9.10
40.41681,-3.70379,2000,01,13,   -2.49,    6.75
40.41681,-3.70379,2000,01,14,   -1.52,    4.48
40.41681,-3.70379,2000,01,15,   -2.92,    6.81
40.41681,-3.70379,2000,01,16,   -1.72,    7.43
40.41681,-3.70379,2000,01,17,   -3.00,    9.38
40.41681,-3.70379,2000,01,18,   -3.30,    8.67
40.41681,-3.70379,2000,01,19,   -2.24,   11.60
40.41681,-3.70379,2000,01,20,   -3.06,    8.96
40.41681,-3.70379,2000,01,21,   -2.36,    8.92
40.41681,-3.70379,2000,01,22,   -3.17,    9.63
40.41681,-3.70379,2000,01,23,   -3.55,    7.87
40.41681,-3.70379,2000,01,24,   -4.16,    5.56
40.41681,-3.70379,2000,01,25,   -4.97,    5.15
40.41681,-3.70379,2000,01,26,   -3.05,    6.71
40.41681,-3.70379,2000,01,27,   -0.55,    8.73
40.41681,-3.70379,2000,01,28,   -0.33,   10.42
40.41681,-3.70379,2000,01,29,   -2.38,   10.89
40.41681,-3.70379,2000,01,30,   -1.38,   14.48
40.41681,-3.70379,2000,01,31,    2.54,   16.50
40.41681,-3.70379,2000,02,01,    3.69,   12.04
40.41681,-3.70379,2000,02,02,    4.15,   14.99
40.41681,-3.70379,2000,02,03,    0.50,   15.65
40.41681,-3.70379,2000,02,04,   -1.20,   15.78
40.41681,-3.70379,2000,02,05,   -0.13,   13.98
40.41681,-3.70379,2000,02,06,    2.72,   13.69
40.41681,-3.70379,2000,02,07,    2.09,   11.58
40.41681,-3.70379,2000,02,08,    2.05,   14.53
40.41681,-3.70379,2000,02,09,    3.32,   14.97
40.41681,-3.70379,2000,02,10,    1.35,   14.91
40.41681,-3.70379,2000,02,11,    2.91,   14.42
40.41681,-3.70379,2000,02,12,    0.72,   14.28
40.41681,-3.70379,2000,02,13,   -0.71,   14.88
40.41681,-3.70379,2000,02,14,    2.13,   17.25
40.41681,-3.70379,2000,02,15,    2.74,   17.28
40.41681,-3.70379,2000,02,16,    1.89,   13.26
40.41681,-3.70379,2000,02,17,    0.29,   15.67
40.41681,-3.70379,2000,02,18,    0.89,   17.45
40.41681,-3.70379,2000,02,19,    1.38,   17.87
40.41681,-3.70379,2000,02,20,    1.23,   16.83
40.41681,-3.70379,2000,02,21,    0.73,   17.12
40.41681,-3.70379,2000,02,22,    2.93,   16.51
40.41681,-3.70379,2000,02,23,    2.31,   16.40
40.41681,-3.70379,2000,02,24,    1.92,   15.81
40.41681,-3.70379,2000,02,25,    1.18,   17.63
40.41681,-3.70379,2000,02,26,    2.99,   18.17
40.41681,-3.70379,2000,02,27,    1.38,   18.32
40.41681,-3.70379,2000,02,28,    2.24,   17.04
40.41681,-3.70379,2000,02,29,    2.85,   17.53
40.41681,-3.70379,2000,03,01,    1.59,   16.41
40.41681,-3.70379,2000,03,02,   -1.45,   15.04
40.41681,-3.70379,2000,03,03,    1.41,   17.47
40.41681,-3.70379,2000,03,04,    1.82,   17.83
40.41681,-3.70379,2000,03,05,    3.06,   19.04
40.41681,-3.70379,2000,03,06,    3.15,   19.37
40.41681,-3.70379,2000,03,07,    3.97,   17.57
40.41681,-3.70379,2000,03,08,    3.10,   20.75
40.41681,-3.70379,2000,03,09,    4.28,   22.29
40.41681,-3.70379,2000,03,10,    4.44,   22.41
40.41681,-3.70379,2000,03,11,    4.72,   22.83
40.41681,-3.70379,2000,03,12,    6.17,   18.64
40.41681,-3.70379,2000,03,13,    4.85,   18.71
40.41681,-3.70379,2000,03,14,    2.31,   19.74
40.41681,-3.70379,2000,03,15,    3.80,   20.02
40.41681,-3.70379,2000,03,16,    1.90,   18.92
40.41681,-3.70379,2000,03,17,    2.04,   19.48
40.41681,-3.70379,2000,03,18,    1.57,   20.98
40.41681,-3.70379,2000,03,19,    0.69,   17.81
