-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  40.4168   Longitude -3.7038 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 697.71 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
40.41681,-3.70379,1983,01,01,    6.55,   -2.62
40.41681,-3.70379,1983,01,02,    9.73,   -3.42
40.41681,-3.70379,1983,01,03,    8.74,    0.09
40.41681,-3.70379,1983,01,04,    9.88,   -0.02
40.41681,-3.70379,1983,01,05,   11.60,   -1.28
40.41681,-3.70379,1983,01,06,    9.97,    0.88
40.41681,-3.70379,1983,01,07,    8.37,    0.78
40.41681,-3.70379,1983,01,08,    9.01,   -1.67
40.41681,-3.70379,1983,01,09,    8.43,   -3.10
40.41681,-3.70379,1983,01,10,    9.57,   -3.21
40.41681,-3.70379,1983,01,11,    8.40,   -3.01
40.41681,-3.70379,1983,01,12,    7.45,   -2.14
40.41681,-3.70379,1983,01,13,    7.91,   -0.74
40.41681,-3.70379,1983,01,14,    9.89,   -0.94
40.41681,-3.70379,1983,01,15,   10.61,   -1.36
40.41681,-3.70379,1983,01,16,   12.52,   -0.69
40.41681,-3.70379,1983,01,17,   13.42,   -1.54
40.41681,-3.70379,1983,01,18,   12.35,    1.36
40.41681,-3.70379,1983,01,19,   11.86,   -1.72
40.41681,-3.70379,1983,01,20,    7.98,   -4.43
40.41681,-3.70379,1983,01,21,    8.63,   -4.87
40.41681,-3.70379,1983,01,22,    8.95,   -3.14
40.41681,-3.70379,1983,01,23,   10.00,   -1.49
40.41681,-3.70379,1983,01,24,   13.51,    0.55
40.41681,-3.70379,1983,01,25,   14.39,    0.82
40.41681,-3.70379,1983,01,26,   16.22,    0.98
40.41681,-3.70379,1983,01,27,   16.65,    3.27
40.41681,-3.70379,1983,01,28,   17.38,   -0.10
40.41681,-3.70379,1983,01,29,   16.33,    0.70
40.41681,-3.70379,1983,01,30,   15.81,    1.03
40.41681,-3.70379,1983,01,31,   14.57,   -0.72
40.41681,-3.70379,1983,02,01,   15.73,    1.49
40.41681,-3.70379,1983,02,02,   11.07,   -1.41
40.41681,-3.70379,1983,02,03,    9.58,   -3.06
40.41681,-3.70379,1983,02,04,   14.56,   -1.22
40.41681,-3.70379,1983,02,05,   14.15,    2.08
40.41681,-3.70379,1983,02,06,   10.08,    1.12
40.41681,-3.70379,1983,02,07,    6.27,   -1.93
40.41681,-3.70379,1983,02,08,    3.32,   -3.01
40.41681,-3.70379,1983,02,09,    4.07,   -3.85
40.41681,-3.70379,1983,02,10,    1.53,   -4.34
40.41681,-3.70379,1983,02,11,    2.50,   -4.78
40.41681,-3.70379,1983,02,12,    2.11,   -4.72
40.41681,-3.70379,1983,02,13,    2.11,   -6.64
40.41681,-3.70379,1983,02,14,    2.13,   -4.78
40.41681,-3.70379,1983,02,15,    4.31,   -3.04
40.41681,-3.70379,1983,02,16,    6.38,   -2.21
40.41681,-3.70379,1983,02,17,    7.68,   -3.26
40.41681,-3.70379,1983,02,18,    9.96,   -0.24
40.41681,-3.70379,1983,02,19,   11.79,   -1.33
40.41681,-3.70379,1983,02,20,   12.88,    1.54
40.41681,-3.70379,1983,02,21,   12.59,    3.83
40.41681,-3.70379,1983,02,22,   12.48,    4.94
40.41681,-3.70379,1983,02,23,   14.68,    5.15
40.41681,-3.70379,1983,02,24,   15.92,    6.34
40.41681,-3.70379,1983,02,25,   14.08,    7.36
40.41681,-3.70379,1983,02,26,   14.41,    3.40
40.41681,-3.70379,1983,02,27,   14.51,    1.26
40.41681,-3.70379,1983,02,28,   16.00,   -0.58
40.41681,-3.70379,1983,03,01,   17.59,    0.64
40.41681,-3.70379,1983,03,02,   18.71,    2.13
40.41681,-3.70379,1983,03,03,   18.42,    0.51
40.41681,-3.70379,1983,03,04,   16.17,    3.55
40.41681,-3.70379,1983,03,05,   18.07,    3.03
40.41681,-3.70379,1983,03,06,   15.71,    1.08
40.41681,-3.70379,1983,03,07,   15.97,    0.92
40.41681,-3.70379,1983,03,08,   16.94,   -0.29
40.41681,-3.70379,1983,03,09,   18.39,    3.86
40.41681,-3.70379,1983,03,10,   17.97,    3.23
40.41681,-3.70379,1983,03,11,   19.49,    4.27
40.41681,-3.70379,1983,03,12,   19.67,    4.26
40.41681,-3.70379,1983,03,13,   20.52,    6.53
40.41681,-3.70379,1983,03,14,   17.99,    5.81
40.41681,-3.70379,1983,03,15,   11.24,    2.11
40.41681,-3.70379,1983,03,16,   14.63,   -0.07
40.41681,-3.70379,1983,03,17,   19.21,    2.88
40.41681,-3.70379,1983,03,18,   19.78,    2.96
40.41681,-3.70379,1983,03,19,   22.05,    4.69
40.41681,-3.70379,1983,03,20,   20.37,    8.02
40.41681,-3.70379,1983,03,21,   21.88,    7.81
40.41681,-3.70379,1983,03,22,   21.17,    7.51
40.41681,-3.70379,1983,03,23,   20.18,    5.51
40.41681,-3.70379,1983,03,24,   15.93,    5.25
40.41681,-3.70379,1983,03,25,   11.68,    1.36
40.41681,-3.70379,1983,03,26,   16.26,    0.47
40.41681,-3.70379,1983,03,27,   15.23,    1.31
40.41681,-3.70379,1983,03,28,   11.80,    0.81
40.41681,-3.70379,1983,03,29,   14.09,   -1.16
40.41681,-3.70379,1983,03,30,   16.25,   -1.88
40.41681,-3.70379,1983,03,31,   16.58,    2.86
40.41681,-3.70379,1983,04,01,   11.32,    2.59
40.41681,-3.70379,1983,04,02,    9.75,   -0.79
40.41681,-3.70379,1983,04,03,   13.38,   -1.79
40.41681,-3.70379,1983,04,04,   16.71,    0.59
40.41681,-3.70379,1983,04,05,   18.29,    2.23
40.41681,-3.70379,1983,04,06,   18.04,    2.36
40.41681,-3.70379,1983,04,07,   18.45,    3.62
40.41681,-3.70379,1983,04,08,   21.36,    3.68
40.41681,-3.70379,1983,04,09,   23.28,    6.93
40.41681,-3.70379,1983,04,10,   24.34,    7.06
40.41681,-3.70379,1983,04,11,   18.21,    5.00
40.41681,-3.70379,1983,04,12,   17.16,    0.37
40.41681,-3.70379,1983,04,13,   21.44,    0.57
40.41681,-3.70379,1983,04,14,   22.48,    2.66
40.41681,-3.70379,1983,04,15,   22.76,    5.97
40.41681,-3.70379,1983,04,16,   22.89,    6.59
40.41681,-3.70379,1983,04,17,   19.17,    7.21
40.41681,-3.70379,1983,04,18,   15.04,    5.78
40.41681,-3.70379,1983,04,19,   13.35,    4.04
40.41681,-3.70379,1983,04,20,   15.46,    3.73
40.41681,-3.70379,1983,04,21,   12.52,    3.21
40.41681,-3.70379,1983,04,22,   12.67,    5.45
40.41681,-3.70379,1983,04,23,   12.25,    4.22
40.41681,-3.70379,1983,04,24,   12.60,    4.18
40.41681,-3.70379,1983,04,25,   11.84,    3.17
40.41681,-3.70379,1983,04,26,   13.80,    1.94
40.41681,-3.70379,1983,04,27,   14.66,    4.24
40.41681,-3.70379,1983,04,28,   16.64,    5.03
40.41681,-3.70379,1983,04,29,   19.09,    3.87
40.41681,-3.70379,1983,04,30,   15.37,    7.03
40.41681,-3.70379,1983,05,01,   15.20,    5.76
40.41681,-3.70379,1983,05,02,   16.18,    2.20
40.41681,-3.70379,1983,05,03,   20.06,    5.70
40.41681,-3.70379,1983,05,04,   22.38,    7.01
40.41681,-3.70379,1983,05,05,   21.33,    4.83
