-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2000 through 05/07/2021 
Location: Latitude  51.5099   Longitude -0.1181 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.82 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN,T2M_MAX
51.50991,-0.11809,2000,01,01,    3.09,    7.45
51.50991,-0.11809,2000,01,02,    4.37,    9.38
51.50991,-0.11809,2000,01,03,    2.40,    9.96
51.50991,-0.11809,2000,01,04,   -0.17,    6.71
51.50991,-0.11809,2000,01,05,    1.57,    9.03
51.50991,-0.11809,2000,01,06,    1.63,    9.31
51.50991,-0.11809,2000,01,07,    2.90,    9.33
51.50991,-0.11809,2000,01,08,    2.92,    8.51
51.50991,-0.11809,2000,01,09,   -1.15,    5.41
51.50991,-0.11809,2000,01,10,   -0.39,    4.85
51.50991,-0.11809,2000,01,11,    4.55,    8.59
51.50991,-0.11809,2000,01,12,    2.99,    7.53
51.50991,-0.11809,2000,01,13,   -0.24,    4.18
51.50991,-0.11809,2000,01,14,   -0.77,    4.27
51.50991,-0.11809,2000,01,15,   -0.24,    5.44
51.50991,-0.11809,2000,01,16,   -0.51,    4.62
51.50991,-0.11809,2000,01,17,   -0.12,    4.40
51.50991,-0.11809,2000,01,18,    1.71,    7.04
51.50991,-0.11809,2000,01,19,   -0.47,    5.47
51.50991,-0.11809,2000,01,20,   -0.69,    4.22
51.50991,-0.11809,2000,01,21,    0.80,    6.41
51.50991,-0.11809,2000,01,22,   -0.11,    5.71
51.50991,-0.11809,2000,01,23,   -0.37,    5.70
51.50991,-0.11809,2000,01,24,   -1.08,    3.90
51.50991,-0.11809,2000,01,25,   -1.84,    4.09
51.50991,-0.11809,2000,01,26,   -2.23,    4.58
51.50991,-0.11809,2000,01,27,   -2.31,    4.05
51.50991,-0.11809,2000,01,28,   -1.66,    5.92
51.50991,-0.11809,2000,01,29,    6.59,   11.17
51.50991,-0.11809,2000,01,30,    8.71,   11.53
51.50991,-0.11809,2000,01,31,    7.65,   12.06
51.50991,-0.11809,2000,02,01,    6.37,    9.64
