-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/1983 through 12/31/2008 
Location: Latitude  51.5099   Longitude -0.1181 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 76.82 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN
51.50991,-0.11809,1983,01,01,    8.77,    3.19
51.50991,-0.11809,1983,01,02,    6.30,    1.60
51.50991,-0.11809,1983,01,03,   11.07,    6.82
51.50991,-0.11809,1983,01,04,   11.27,    5.40
51.50991,-0.11809,1983,01,05,   12.15,    6.38
51.50991,-0.11809,1983,01,06,   10.62,    1.43
51.50991,-0.11809,1983,01,07,    7.13,    1.20
51.50991,-0.11809,1983,01,08,    5.54,    1.10
51.50991,-0.11809,1983,01,09,    9.30,    1.54
51.50991,-0.11809,1983,01,10,   10.18,    1.82
51.50991,-0.11809,1983,01,11,    7.29,    5.28
51.50991,-0.11809,1983,01,12,    9.24,    5.88
51.50991,-0.11809,1983,01,13,    7.61,   -0.72
51.50991,-0.11809,1983,01,14,    8.60,   -0.27
51.50991,-0.11809,1983,01,15,    9.35,    4.47
51.50991,-0.11809,1983,01,16,    9.39,    5.54
51.50991,-0.11809,1983,01,17,    8.79,    4.55
51.50991,-0.11809,1983,01,18,    7.80,    0.20
51.50991,-0.11809,1983,01,19,    4.48,   -1.96
51.50991,-0.11809,1983,01,20,    4.36,   -3.25
51.50991,-0.11809,1983,01,21,    6.08,   -0.34
51.50991,-0.11809,1983,01,22,    5.83,    0.02
51.50991,-0.11809,1983,01,23,    5.22,   -0.18
51.50991,-0.11809,1983,01,24,    8.75,    1.56
51.50991,-0.11809,1983,01,25,    8.40,    4.17
51.50991,-0.11809,1983,01,26,   10.29,    4.96
51.50991,-0.11809,1983,01,27,   12.43,    8.35
51.50991,-0.11809,1983,01,28,    9.98,    8.24
51.50991,-0.11809,1983,01,29,    8.92,    3.57
51.50991,-0.11809,1983,01,30,    5.83,    1.52
51.50991,-0.11809,1983,01,31,    9.76,    0.21
51.50991,-0.11809,1983,02,01,    9.58,    2.14
51.50991,-0.11809,1983,02,02,    5.55,    0.24
