COUNTRY,MONTH,TEMPMAX_90th
Belgium,1,9.74
Belgium,2,11.282
Belgium,3,14.9
Belgium,4,18.732
Belgium,5,23.235
Belgium,6,25.25
Belgium,7,27.275
Belgium,8,27.095
Belgium,9,23.473
Belgium,10,19.19
Belgium,11,13.55
Belgium,12,10.16
France,1,11.06
France,2,12.4
France,3,16.39
France,4,20.011000000000003
France,5,24.04
France,6,26.602
France,7,29.32
France,8,29.534999999999997
France,9,25.431
France,10,21.035
France,11,14.881
France,12,11.17
Greece,1,15.655000000000001
Greece,2,15.85
Greece,3,17.79
Greece,4,20.652
Greece,5,25.845
Greece,6,30.371000000000002
Greece,7,32.18
Greece,8,31.9
Greece,9,29.479
Greece,10,25.810000000000002
Greece,11,20.924000000000003
Greece,12,17.270000000000003
Romania,1,8.4
Romania,2,10.95
Romania,3,15.76
Romania,4,19.663
Romania,5,24.735
Romania,6,29.043
Romania,7,32.42
Romania,8,32.3
Romania,9,28.2
Romania,10,22.884999999999998
Romania,11,15.904000000000003
Romania,12,9.58
Russia,1,0.24
Russia,2,0.4160000000000002
Russia,3,2.3099999999999996
Russia,4,17.201
Russia,5,22.675
Russia,6,25.174000000000003
Russia,7,26.595
Russia,8,25.475
Russia,9,20.611
Russia,10,13.835
Russia,11,3.7630000000000003
Russia,12,0.29
Spain,1,13.18
Spain,2,16.592000000000002
Spain,3,20.630000000000003
Spain,4,23.93
Spain,5,28.759999999999998
Spain,6,34.647000000000006
Spain,7,37.64
Spain,8,37.02
Spain,9,32.915
Spain,10,25.509999999999998
Spain,11,18.684
Spain,12,13.765
UK,1,10.725000000000001
UK,2,11.332
UK,3,14.305
UK,4,17.381999999999998
UK,5,21.36
UK,6,23.681
UK,7,26.31
UK,8,26.505000000000003
UK,9,23.092
UK,10,18.6
UK,11,13.69
UK,12,11.265
